player_id,name,pos,Predicted,total_points,Prediction_Error,round,concede_pot,opp_pot,team_rank,opponent_team_rank,form_points,ict_form,save_form,prev_points,opp_concede_pot,team_pot,long_form
525,Hoedt,Defender,1.7,0,1.7,30,1.642857143,1,17,13,3.333333333,3.166666667,0,8,0,0,0
532,Aurier,Defender,7.6,13,5.4,30,1.066666667,1.4,3,12,8.666666667,7.566666667,0,7,0,0,0
538,Schelotto,Defender,1.4,0,1.4,30,1.266666667,1.666666667,11,9,1,1.233333333,0,1,0,0,0
543,Zappacosta,Defender,1.4,2,0.6,30,0.7333333333,0.6666666667,5,18,2.666666667,8.1,0,6,0,0,0
594,Bauer,Defender,1,1,0,30,1.533333333,2.266666667,19,1,3,1.766666667,0,6,0,0,0
599,Stafylidis,Defender,0.7,1,0.3,30,1.533333333,2.266666667,19,1,1.333333333,2.466666667,0,1,0,0,0
8,Gibbs,Defender,1.2,1,0.2,30,1.5625,1.4375,20,10,1,4.366666667,0,0,0,0,0
33,Cook,Defender,2.8,2,0.8,31,1.625,0.5,10,20,1.333333333,4.166666667,0,0,0,0,0
34,Daniels,Defender,4.1,5,0.9,31,1.625,0.5,10,20,2.666666667,3.9,0,1,0,0,0
35,Smith,Defender,2.2,0,2.2,31,1.625,0.5,10,20,1.666666667,3.733333333,0,3,0,0,0
38,Aké,Defender,3.2,2,1.2,31,1.625,0.5,10,20,1.333333333,2.5,0,0,0,0,0
99,Zouma,Defender,4.2,1,3.2,31,1.5625,0.75,19,9,3,2.033333333,0,1,0,0,0
117,Tomkins,Defender,6.7,15,8.3,31,1.5625,0.9375,16,15,5.333333333,6.2,0,0,0,0,0
123,Schlupp,Defender,3.2,1,2.2,31,1.5625,0.9375,16,15,2,1.866666667,0,1,0,0,0
124,van Aanholt,Defender,6.1,7,0.9,31,1.5625,0.9375,16,15,6.666666667,5.833333333,0,6,0,0,0
138,Baines,Defender,2.3,2,0.3,31,2,1.0625,9,19,5,3.6,0,12,0,0,0
139,Coleman,Defender,3.4,2,1.4,31,2,1.0625,9,19,4,3.833333333,0,6,0,0,0
140,Jagielka,Defender,2.4,1,1.4,31,2,1.0625,9,19,3,2.433333333,0,6,0,0,0
144,Holgate,Defender,2.6,1,1.6,31,2,1.0625,9,19,1.333333333,0.8666666667,0,1,0,0,0
146,Keane,Defender,2.4,2,0.4,31,2,1.0625,9,19,3,2.6,0,6,0,0,0
164,Schindler,Defender,1.8,0,1.8,31,1.375,0.75,15,16,2.666666667,2.633333333,0,7,0,0,0
165,Löwe,Defender,2,1,1,31,1.375,0.75,15,16,1,2.8,0,1,0,0,0
