,round,team_rank,opponent_team_rank,opp_pot,concede_pot,prev_points,form_points,ict_form,total_points,Predicted,Prediction_Error,player_id,name
6170,33,15,20,1.0588235294117647,1.5294117647058822,1.0,2.6666666666666665,3.066666666666668,1,3.9,2.9,356,van der Hoorn
6202,33,15,20,1.0588235294117647,1.5294117647058822,1.0,2.6666666666666665,2.433333333333332,2,4.0,2.0,357,Mawson
6233,33,15,20,1.0588235294117647,1.5294117647058822,1.0,2.6666666666666665,2.1,2,4.1,2.0999999999999996,358,Olsson
6531,33,4,19,1.0588235294117647,1.0588235294117647,1.0,2.0,2.466666666666666,4,3.4,0.6000000000000001,378,Rose
6591,33,4,19,1.0588235294117647,1.0588235294117647,2.0,2.0,2.5333333333333363,2,3.0,1.0,380,Vertonghen
6967,33,12,7,1.1176470588235294,1.7647058823529411,1.0,0.6666666666666666,1.6333333333333329,1,1.1,0.10000000000000009,400,Prödl
6992,33,12,7,1.1176470588235294,1.7647058823529411,3.0,1.3333333333333333,4.233333333333333,1,0.6,0.4,401,Holebas
7048,33,12,7,1.1176470588235294,1.7647058823529411,1.0,1.0,3.199999999999997,1,1.2,0.19999999999999996,404,Janmaat
7072,33,12,7,1.1176470588235294,1.7647058823529411,1.0,0.6666666666666666,2.0666666666666664,1,1.0,0.0,405,Mariappa
7093,33,12,7,1.1176470588235294,1.7647058823529411,8.0,3.0,4.633333333333333,1,0.6,0.4,407,Femenía Far
7310,33,20,15,0.6470588235294118,1.5882352941176472,1.0,1.3333333333333333,3.699999999999999,2,2.1,0.10000000000000009,422,Nyom
7360,33,20,15,0.6470588235294118,1.5882352941176472,1.0,1.0,4.533333333333335,2,1.5,0.5,424,Dawson
7671,33,14,5,1.6470588235294117,2.3125,6.0,2.6666666666666665,3.4666666666666672,2,0.6,1.4,443,Cresswell
7696,33,14,5,1.6470588235294117,2.3125,6.0,3.0,2.933333333333332,2,1.1,0.8999999999999999,444,Ogbonna
7721,33,14,5,1.6470588235294117,2.3125,10.0,4.333333333333333,3.866666666666666,2,1.1,0.8999999999999999,446,Masuaku
7751,33,14,5,1.6470588235294117,2.3125,6.0,3.0,1.4999999999999998,2,1.4,0.6000000000000001,447,Zabaleta
8033,33,20,15,0.6470588235294118,1.5882352941176472,1.0,1.3333333333333333,3.433333333333333,2,2.2,0.20000000000000018,468,Hegazi
8217,33,6,18,0.9375,1.1176470588235294,6.0,2.6666666666666665,4.366666666666666,1,1.9,0.8999999999999999,480,Chambers
8262,33,1,2,1.75,0.8125,1.0,0.6666666666666666,0.5666666666666657,0,1.0,1.0,483,da Silva
8270,33,15,20,1.0588235294117647,1.5294117647058822,1.0,1.0,3.2666666666666675,0,1.8,1.8,485,Bartley
8551,33,14,5,1.6470588235294117,2.3125,6.0,2.6666666666666665,2.9333333333333336,2,0.7,1.3,510,Rice
8578,33,19,4,1.9411764705882355,1.5882352941176472,1.0,0.6666666666666666,1.8666666666666665,0,0.3,0.3,513,Martins Indi
8678,33,4,19,1.0588235294117647,1.0588235294117647,2.0,2.0,2.833333333333334,2,2.9,0.8999999999999999,520,Sánchez
8697,33,16,13,1.2941176470588236,1.8823529411764703,1.0,3.6666666666666665,6.93333333333333,2,3.7,1.7000000000000002,521,Hadergjonaj
8744,33,18,6,2.647058823529412,1.8125,1.0,0.3333333333333333,2.266666666666668,0,-0.6,0.6,525,Hoedt
8787,33,4,19,1.0588235294117647,1.0588235294117647,13.0,7.0,6.666666666666665,1,4.1,3.0999999999999996,532,Aurier
8864,33,13,16,0.6470588235294118,1.4117647058823528,1.0,1.0,2.833333333333333,2,2.1,0.10000000000000009,538,Schelotto
9000,33,16,13,1.2941176470588236,1.8823529411764703,2.0,2.333333333333333,4.199999999999998,4,2.3,1.7000000000000002,591,Kongolo
9031,33,19,4,1.9411764705882355,1.5882352941176472,1.0,1.0,2.233333333333334,1,0.6,0.4,594,Bauer
9116,33,14,5,1.6470588235294117,2.3125,0.0,0.3333333333333333,1.2333333333333332,1,0.5,0.5,626,Evra
122,33,20,2,2.0588235294117645,1.4705882352941178,2.0,3.0,2.5666666666666664,6,2.5,3.5,8,Gibbs
