,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,long_form,ict_form,total_points,Predicted,Prediction_Error,player_id,name
1594,34,7,8,0.875,1.5882352941176472,0.8125,1.6470588235294117,10.0,4.333333333333333,3.6,4.066666666666668,2,1.9,0.10000000000000009,90,Cork
1912,34,5,18,1.8125,1.0588235294117647,1.125,1.4117647058823528,2.0,3.6666666666666665,3.2,12.233333333333333,7,3.8,3.2,104,Hazard
1941,34,5,18,1.8125,1.0588235294117647,1.125,1.4117647058823528,2.0,2.0,2.2,7.7333333333333325,2,2.0,0.0,105,Fàbregas
1973,34,5,18,1.8125,1.0588235294117647,1.125,1.4117647058823528,2.0,2.6666666666666665,4.0,11.133333333333333,4,2.5,1.5,106,Borges Da Silva
2006,34,2,20,2.0588235294117645,0.5294117647058824,0.4705882352941176,1.4705882352941178,2.0,2.333333333333333,3.6,3.6666666666666674,2,3.0,-1.0,107,Matic
2026,34,16,13,1.2941176470588236,0.5625,1.5882352941176472,1.375,2.0,1.6666666666666667,1.6,2.966666666666669,2,1.8,0.19999999999999996,108,Loftus-Cheek
2052,34,5,18,1.8125,1.0588235294117647,1.125,1.4117647058823528,1.0,1.0,1.2,1.0999999999999994,1,1.8,-0.8,109,Rodríguez Ledesma
2061,34,10,6,1.0588235294117647,1.0625,0.9411764705882352,1.625,3.0,3.6666666666666665,5.8,5.3,2,3.4,-1.4,110,Nunes do Nascimento
2090,34,5,18,1.8125,1.0588235294117647,1.125,1.4117647058823528,3.0,2.333333333333333,3.0,3.5333333333333345,2,2.5,-0.5,111,Kanté
2295,34,16,13,1.2941176470588236,0.5625,1.5882352941176472,1.375,7.0,8.666666666666666,6.6,12.466666666666667,14,8.2,5.800000000000001,126,Zaha
2324,34,16,13,1.2941176470588236,0.5625,1.5882352941176472,1.375,2.0,2.6666666666666665,2.6,4.6000000000000005,5,3.0,2.0,127,McArthur
2356,34,16,13,1.2941176470588236,0.5625,1.5882352941176472,1.375,4.0,2.6666666666666665,2.4,2.2999999999999985,2,2.4,-0.3999999999999999,129,Cabaye
2404,34,16,13,1.2941176470588236,0.5625,1.5882352941176472,1.375,5.0,3.0,3.4,7.633333333333336,2,1.9,0.10000000000000009,131,Townsend
2436,34,16,13,1.2941176470588236,0.5625,1.5882352941176472,1.375,10.0,9.333333333333334,8.0,8.133333333333335,9,8.3,0.6999999999999993,132,Milivojevic
2642,34,9,17,0.7647058823529411,1.0,1.9411764705882355,1.25,3.0,4.0,4.0,4.5,2,4.2,-2.2,147,Bolasie
2703,34,7,8,0.875,1.5882352941176472,0.8125,1.6470588235294117,2.0,2.6666666666666665,3.0,3.233333333333332,1,2.8,-1.7999999999999998,153,Lennon
2729,34,9,17,0.7647058823529411,1.0,1.9411764705882355,1.25,3.0,2.6666666666666665,2.0,2.499999999999999,3,2.8,0.20000000000000018,154,Schneiderlin
2758,34,9,17,0.7647058823529411,1.0,1.9411764705882355,1.25,1.0,3.0,2.4,4.233333333333333,6,3.8,2.2,155,Gueye
3047,34,14,12,0.9411764705882352,1.0,1.2941176470588236,1.7647058823529411,2.0,2.0,2.0,3.9666666666666655,3,2.1,0.8999999999999999,172,Mooy
3077,34,14,12,0.9411764705882352,1.0,1.2941176470588236,1.7647058823529411,2.0,2.333333333333333,2.2,2.8666666666666667,3,2.6,0.3999999999999999,173,van La Parra
3103,34,14,12,0.9411764705882352,1.0,1.2941176470588236,1.7647058823529411,2.0,2.0,2.0,3.3333333333333326,3,2.1,0.8999999999999999,174,Hogg
3116,34,14,12,0.9411764705882352,1.0,1.2941176470588236,1.7647058823529411,1.0,1.0,0.8,0.8666666666666667,1,1.5,-0.5,175,Billing
3176,34,14,12,0.9411764705882352,1.0,1.2941176470588236,1.7647058823529411,2.0,3.333333333333333,2.8,4.266666666666668,6,3.8,2.2,182,Ince
3487,34,8,7,1.5882352941176472,0.875,1.6470588235294117,0.8125,2.0,2.333333333333333,5.6,6.766666666666663,2,1.9,0.10000000000000009,199,Mahrez
3536,34,17,9,1.0,0.7647058823529411,1.25,1.9411764705882355,2.0,2.0,3.2,2.1666666666666665,2,2.1,-0.10000000000000009,201,King
3578,34,8,7,1.5882352941176472,0.875,1.6470588235294117,0.8125,1.0,2.333333333333333,2.2,3.4,2,2.8,-0.7999999999999998,203,Gray
3937,34,3,11,2.411764705882353,0.9411764705882352,0.5882352941176471,1.6470588235294117,3.0,2.6666666666666665,2.8,4.200000000000002,3,2.9,0.10000000000000009,225,Henderson
4014,34,3,11,2.411764705882353,0.9411764705882352,0.5882352941176471,1.6470588235294117,3.0,5.666666666666668,6.6,9.266666666666667,8,6.2,1.7999999999999998,230,Mané
4046,34,3,11,2.411764705882353,0.9411764705882352,0.5882352941176471,1.6470588235294117,3.0,2.6666666666666665,2.4,3.4666666666666672,3,2.9,0.10000000000000009,232,Wijnaldum
4078,34,3,11,2.411764705882353,0.9411764705882352,0.5882352941176471,1.6470588235294117,7.0,14.666666666666664,10.8,20.26666666666668,8,15.6,-7.6,234,Salah
4264,34,1,4,2.3529411764705883,2.066666666666667,0.7058823529411765,0.7333333333333333,2.0,1.3333333333333333,1.8,1.3666666666666678,1,1.3,-0.30000000000000004,246,Delph
4293,34,1,4,2.3529411764705883,2.066666666666667,0.7058823529411765,0.7333333333333333,4.0,7.0,7.0,13.133333333333338,10,6.8,3.2,247,Sterling
4320,34,1,4,2.3529411764705883,2.066666666666667,0.7058823529411765,0.7333333333333333,2.0,5.0,8.0,9.9,2,5.1,-3.0999999999999996,248,Silva
4327,34,1,4,2.3529411764705883,2.066666666666667,0.7058823529411765,0.7333333333333333,1.0,1.0,1.4,0.4000000000000001,1,1.3,-0.30000000000000004,249,Touré
4390,34,1,4,2.3529411764705883,2.066666666666667,0.7058823529411765,0.7333333333333333,1.0,2.333333333333333,2.6,7.233333333333332,1,2.4,-1.4,252,De Bruyne
4415,34,1,4,2.3529411764705883,2.066666666666667,0.7058823529411765,0.7333333333333333,8.0,6.333333333333332,4.4,6.200000000000002,10,5.1,4.9,253,Gündogan
4443,34,1,4,2.3529411764705883,2.066666666666667,0.7058823529411765,0.7333333333333333,5.0,5.0,4.2,7.6666666666666625,2,4.3,-2.3,255,Sané
4474,34,1,4,2.3529411764705883,2.066666666666667,0.7058823529411765,0.7333333333333333,2.0,1.3333333333333333,3.2,1.7333333333333325,1,1.1,-0.10000000000000009,256,Veiga de Carvalho e Silva
4745,34,2,20,2.0588235294117645,0.5294117647058824,0.4705882352941176,1.4705882352941178,3.0,2.333333333333333,1.8,5.100000000000001,2,2.6,-0.6000000000000001,274,Mata
4785,34,2,20,2.0588235294117645,0.5294117647058824,0.4705882352941176,1.4705882352941178,2.0,2.333333333333333,2.2,2.166666666666666,2,3.2,-1.2000000000000002,277,Young
4807,34,2,20,2.0588235294117645,0.5294117647058824,0.4705882352941176,1.4705882352941178,4.0,2.0,1.6,2.433333333333332,1,2.0,-1.0,278,Herrera
4836,34,2,20,2.0588235294117645,0.5294117647058824,0.4705882352941176,1.4705882352941178,2.0,3.0,2.4,4.099999999999999,1,3.9,-2.9,279,Lingard
4863,34,2,20,2.0588235294117645,0.5294117647058824,0.4705882352941176,1.4705882352941178,5.0,2.6666666666666665,2.2,5.733333333333335,1,2.2,-1.2000000000000002,280,Martial
4907,34,2,20,2.0588235294117645,0.5294117647058824,0.4705882352941176,1.4705882352941178,14.0,5.666666666666668,4.8,8.200000000000001,0,2.4,-2.4,282,Pogba
5148,34,10,6,1.0588235294117647,1.0625,0.9411764705882352,1.625,1.0,4.0,4.2,5.166666666666668,8,4.7,3.3,295,Ritchie
5173,34,10,6,1.0588235294117647,1.0625,0.9411764705882352,1.625,8.0,4.333333333333333,5.2,5.73333333333333,2,2.4,-0.3999999999999999,296,Shelvey
5199,34,10,6,1.0588235294117647,1.0625,0.9411764705882352,1.625,3.0,2.6666666666666665,2.6,2.1333333333333333,2,2.6,-0.6000000000000001,298,Diamé
5504,34,18,5,1.0588235294117647,1.8125,1.4117647058823528,1.125,2.0,2.6666666666666665,2.4,5.533333333333332,4,2.4,1.6,317,Ward-Prowse
5535,34,18,5,1.0588235294117647,1.8125,1.4117647058823528,1.125,2.0,4.0,3.2,8.299999999999999,9,3.9,5.1,318,Tadic
5564,34,18,5,1.0588235294117647,1.8125,1.4117647058823528,1.125,2.0,2.0,1.8,2.700000000000001,1,1.8,-0.8,320,Romeu Vidal
5582,34,18,5,1.0588235294117647,1.8125,1.4117647058823528,1.125,2.0,1.6666666666666667,1.8,5.466666666666666,1,1.1,-0.10000000000000009,321,Højbjerg
5614,34,18,5,1.0588235294117647,1.8125,1.4117647058823528,1.125,1.0,1.0,1.4,3.6,1,0.8,0.19999999999999996,323,Sims
6301,34,17,9,1.0,0.7647058823529411,1.25,1.9411764705882355,1.0,1.3333333333333333,4.0,1.0333333333333337,2,1.7,0.30000000000000004,363,Ki
6342,34,17,9,1.0,0.7647058823529411,1.25,1.9411764705882355,1.0,1.0,1.0,0.5999999999999992,1,1.4,-0.3999999999999999,366,Dyer
6374,34,17,9,1.0,0.7647058823529411,1.25,1.9411764705882355,2.0,3.6666666666666665,2.6,5.93333333333333,8,4.1,3.9000000000000004,367,Carroll
6390,34,17,9,1.0,0.7647058823529411,1.25,1.9411764705882355,1.0,1.0,2.6,2.433333333333333,1,1.2,-0.19999999999999996,369,Narsingh
6686,34,4,1,2.066666666666667,2.3529411764705883,0.7333333333333333,0.7058823529411765,1.0,3.333333333333333,3.2,2.900000000000001,2,3.9,-1.9,384,Dier
6712,34,4,1,2.066666666666667,2.3529411764705883,0.7333333333333333,0.7058823529411765,2.0,1.6666666666666667,2.0,2.5000000000000004,1,1.4,-0.3999999999999999,385,Dembélé
6731,34,4,1,2.066666666666667,2.3529411764705883,0.7333333333333333,0.7058823529411765,1.0,1.6666666666666667,1.4,2.9666666666666672,2,1.8,0.19999999999999996,386,Lamela
6762,34,4,1,2.066666666666667,2.3529411764705883,0.7333333333333333,0.7058823529411765,15.0,10.333333333333334,7.8,13.4,7,6.8,0.20000000000000018,387,Eriksen
6793,34,4,1,2.066666666666667,2.3529411764705883,0.7333333333333333,0.7058823529411765,6.0,7.666666666666668,7.8,8.499999999999996,2,7.1,-5.1,388,Alli
6836,34,4,1,2.066666666666667,2.3529411764705883,0.7333333333333333,0.7058823529411765,2.0,2.6666666666666665,7.8,4.366666666666664,1,2.2,-1.2000000000000002,390,Son
6887,34,4,1,2.066666666666667,2.3529411764705883,0.7333333333333333,0.7058823529411765,1.0,1.0,1.0,1.0000000000000009,1,1.1,-0.10000000000000009,393,Sissoko
7137,34,12,14,1.0,0.9411764705882352,1.7647058823529411,1.2941176470588236,2.0,2.0,2.0,2.533333333333333,2,2.2,-0.20000000000000018,409,Capoue
7173,34,12,14,1.0,0.9411764705882352,1.7647058823529411,1.2941176470588236,1.0,1.3333333333333333,1.6,4.666666666666671,2,1.5,0.5,414,Doucouré
7202,34,12,14,1.0,0.9411764705882352,1.7647058823529411,1.2941176470588236,9.0,6.0,4.4,8.7,1,4.2,-3.2,415,Pereyra
7213,34,12,14,1.0,0.9411764705882352,1.7647058823529411,1.2941176470588236,2.0,4.0,2.8,6.533333333333334,3,4.5,-1.5,416,Hughes
7400,34,20,2,0.5294117647058824,2.0588235294117645,1.4705882352941178,0.4705882352941176,2.0,2.333333333333333,1.8,3.333333333333332,3,1.8,1.2,426,Livermore
7423,34,20,2,0.5294117647058824,2.0588235294117645,1.4705882352941178,0.4705882352941176,1.0,1.3333333333333333,1.4,1.166666666666667,1,1.1,-0.10000000000000009,429,Yacob
7449,34,20,2,0.5294117647058824,2.0588235294117645,1.4705882352941178,0.4705882352941176,1.0,1.6666666666666667,1.4,4.766666666666667,3,1.2,1.8,430,McClean
7476,34,20,2,0.5294117647058824,2.0588235294117645,1.4705882352941178,0.4705882352941176,1.0,1.6666666666666667,1.6,2.8000000000000007,3,1.4,1.6,432,Phillips
7508,34,20,2,0.5294117647058824,2.0588235294117645,1.4705882352941178,0.4705882352941176,1.0,2.0,2.0,2.8666666666666663,3,1.8,1.2,434,Brunt
7775,34,17,9,1.0,0.7647058823529411,1.25,1.9411764705882355,2.0,2.0,3.4,3.866666666666666,2,2.0,0.0,449,Ayew
8192,34,10,6,1.0588235294117647,1.0625,0.9411764705882352,1.625,2.0,1.3333333333333333,3.8,1.7666666666666666,1,1.1,-0.10000000000000009,478,Murphy
8518,34,12,14,1.0,0.9411764705882352,1.7647058823529411,1.2941176470588236,1.0,1.0,1.4,0.4333333333333331,1,1.5,-0.5,501,de Andrade
8608,34,13,16,0.5625,1.2941176470588236,1.375,1.5882352941176472,2.0,3.6666666666666665,3.0,7.499999999999999,7,3.9,3.1,517,Izquierdo Mena
8811,34,20,2,0.5294117647058824,2.0588235294117645,1.4705882352941178,0.4705882352941176,1.0,1.0,1.4,1.033333333333332,1,0.7,0.30000000000000004,533,Krychowiak
8875,34,9,17,0.7647058823529411,1.0,1.9411764705882355,1.25,1.0,1.3333333333333333,1.2,3.033333333333333,1,1.7,-0.7,539,Vlasic
8928,34,6,10,1.0625,1.0588235294117647,1.625,0.9411764705882352,3.0,1.6666666666666667,1.8,1.5666666666666669,1,1.3,-0.30000000000000004,546,Maitland-Niles
8971,34,9,17,0.7647058823529411,1.0,1.9411764705882355,1.25,1.0,0.6666666666666666,0.8,0.2333333333333333,0,1.1,-1.1,563,Baningime
8976,34,8,7,1.5882352941176472,0.875,1.6470588235294117,0.8125,1.0,1.3333333333333333,0.0,1.2,2,1.8,0.19999999999999996,571,Choudhury
8991,34,8,7,1.5882352941176472,0.875,1.6470588235294117,0.8125,2.0,1.3333333333333333,1.4,3.4000000000000004,2,1.1,0.8999999999999999,589,Perruchet Silva
9021,34,14,12,0.9411764705882352,1.0,1.2941176470588236,1.7647058823529411,2.0,2.0,2.2,4.366666666666667,2,2.0,0.0,593,Pritchard
9091,34,4,1,2.066666666666667,2.3529411764705883,0.7333333333333333,0.7058823529411765,1.0,1.0,0.0,1.9,1,1.1,-0.10000000000000009,617,Rodrigues Moura da Silva
9119,34,6,10,1.0625,1.0588235294117647,1.625,0.9411764705882352,0.0,0.0,0.0,0.0,2,0.4,1.6,634,Willock
