,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,save_form,long_form,ict_form
4461,306,Forster,2017/2018,3,8,3,0.0,0.5,0.0,0.0,3.0,6.666666666666668,11,4.0,0.0,2.7999999999999994
4806,328,Butland,2017/2018,3,11,5,0.5,1.0,1.0,0.5,11.0,5.333333333333333,2,3.333333333333333,0.0,2.733333333333333
5106,350,Fabianski,2017/2018,3,13,19,1.0,0.0,0.0,2.5,1.0,4.666666666666667,7,3.0,0.0,1.8333333333333333
5478,375,Lloris,2017/2018,3,9,10,1.0,0.5,1.5,1.5,1.0,3.333333333333333,2,1.6666666666666667,0.0,1.4333333333333336
5847,397,Gomes,2017/2018,3,7,17,1.5,0.0,1.5,1.0,7.0,4.666666666666667,6,2.0,0.0,1.4333333333333331
6113,421,Foster,2017/2018,3,5,11,1.0,0.5,0.5,1.0,6.0,5.0,2,1.0,0.0,0.9666666666666668
6920,479,Hart,2017/2018,3,20,14,0.6666666666666666,1.5,3.333333333333333,1.0,1.0,1.0,2,3.0,0.0,1.8
4,2,Cech,2017/2018,4,11,19,3.5,0.0,1.5,2.0,2.0,3.6666666666666665,6,3.6666666666666665,0.0,3.466666666666667
413,29,Begovic,2017/2018,4,19,11,0.0,3.5,2.0,1.5,3.0,2.6666666666666665,3,5.666666666666668,0.0,3.766666666666667
800,54,Ryan,2017/2018,4,14,9,1.5,1.0,1.5,1.5,6.0,3.0,2,1.3333333333333333,0.0,0.9333333333333332
1088,74,Heaton,2017/2018,4,7,20,0.5,0.0,1.5,1.0,3.0,2.0,1,1.3333333333333333,0.0,1.1666666666666667
1416,94,Courtois,2017/2018,4,3,17,2.0,1.5,1.0,1.0,6.0,4.666666666666667,2,2.333333333333333,0.0,1.4666666666666668
1779,115,Hennessey,2017/2018,4,20,7,0.0,0.5,1.0,1.5,1.0,4.0,2,4.666666666666667,0.0,3.1999999999999997
2078,135,Pickford,2017/2018,4,16,5,0.5,2.5,1.5,0.0,2.0,2.6666666666666665,2,4.333333333333333,0.0,2.9333333333333336
2414,163,Lössl,2017/2018,4,6,18,1.5,2.0,1.0,0.0,6.0,5.0,1,3.0,0.0,2.033333333333333
2766,189,Schmeichel,2017/2018,4,17,3,1.5,2.0,1.0,1.0,9.0,5.666666666666668,2,3.6666666666666665,0.0,2.966666666666667
3130,213,Mignolet,2017/2018,4,8,2,1.5,3.0,4.0,0.5,6.0,2.6666666666666665,2,2.6666666666666665,0.0,1.8
3491,240,Santana de Moraes,2017/2018,4,2,8,3.0,1.5,0.5,4.0,2.0,2.0,2,2.0,0.0,1.4666666666666668
3515,241,Bravo,2017/2018,4,2,8,3.0,1.5,0.5,4.0,0.0,0.0,1,0.0,0.0,0.0
3811,260,de Gea,2017/2018,4,1,12,3.5,1.5,1.5,1.0,7.0,5.0,2,2.6666666666666665,0.0,1.7
4186,286,Elliot,2017/2018,4,10,15,0.5,0.0,0.5,2.5,7.0,5.666666666666668,8,2.6666666666666665,0.0,1.9
4462,306,Forster,2017/2018,4,13,4,1.0,2.0,1.3333333333333333,0.0,11.0,5.0,1,4.333333333333333,0.0,3.0
4807,328,Butland,2017/2018,4,12,1,1.5,3.5,1.0,1.5,2.0,5.333333333333333,3,4.666666666666667,0.0,3.9333333333333336
5107,350,Fabianski,2017/2018,4,15,10,0.0,0.5,2.5,0.5,7.0,4.0,4,4.666666666666667,0.0,3.1666666666666665
5479,375,Lloris,2017/2018,4,5,16,2.5,0.5,0.0,1.5,2.0,3.0,6,1.0,0.0,1.0000000000000002
5848,397,Gomes,2017/2018,4,4,13,2.0,1.0,0.0,1.3333333333333333,6.0,6.666666666666668,7,1.6666666666666667,0.0,1.3333333333333333
6114,421,Foster,2017/2018,4,9,14,1.0,1.5,1.5,1.5,2.0,3.333333333333333,2,1.3333333333333333,0.0,1.1666666666666667
6782,469,Pope,2017/2018,4,7,20,0.5,0.0,1.5,1.0,0.0,0.0,2,0.0,0.0,0.0
6921,479,Hart,2017/2018,4,18,6,2.0,1.5,0.0,1.0,2.0,3.0,6,3.0,0.0,1.9333333333333336
5,2,Cech,2017/2018,5,12,3,0.0,1.3333333333333333,1.6666666666666667,1.0,6.0,6.0,10,4.0,4.4,3.633333333333333
414,29,Begovic,2017/2018,5,19,16,1.0,0.3333333333333333,1.6666666666666667,1.3333333333333333,3.0,2.6666666666666665,2,4.0,2.6,2.6333333333333333
801,54,Ryan,2017/2018,5,16,19,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,2.0,3.0,1,1.0,2.4,0.7333333333333334
1417,94,Courtois,2017/2018,5,3,12,1.3333333333333333,0.0,1.0,1.6666666666666667,2.0,4.666666666666667,6,1.0,4.2,0.8666666666666667
1780,115,Hennessey,2017/2018,5,20,9,0.0,0.5,2.0,0.0,2.0,2.0,3,1.6666666666666667,3.4,1.3333333333333328
2079,135,Pickford,2017/2018,5,18,2,0.3333333333333333,0.0,2.333333333333333,1.6666666666666667,2.0,1.6666666666666667,1,3.6666666666666665,3.0,2.8000000000000003
2415,163,Lössl,2017/2018,5,6,15,0.6666666666666666,1.3333333333333333,0.3333333333333333,2.333333333333333,1.0,3.0,2,1.3333333333333333,5.2,0.8999999999999999
2767,189,Schmeichel,2017/2018,5,15,6,1.3333333333333333,0.6666666666666666,2.333333333333333,0.3333333333333333,2.0,4.333333333333333,2,3.6666666666666665,4.2,3.333333333333334
3131,213,Mignolet,2017/2018,5,8,7,2.0,0.3333333333333333,0.3333333333333333,2.333333333333333,2.0,3.333333333333333,2,3.0,0.0,2.1333333333333333
3492,240,Santana de Moraes,2017/2018,5,1,11,3.333333333333333,1.0,0.3333333333333333,3.0,2.0,3.333333333333333,6,2.0,3.6,1.6000000000000003
3812,260,de Gea,2017/2018,5,2,18,0.0,0.3333333333333333,1.6666666666666667,2.333333333333333,2.0,5.333333333333333,7,3.333333333333333,5.6,2.2666666666666666
4187,286,Elliot,2017/2018,5,4,13,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,8.0,6.0,3,3.0,4.4,2.233333333333333
4463,306,Forster,2017/2018,5,9,20,0.5,0.0,0.0,2.0,1.0,6.333333333333332,7,3.333333333333333,5.6,2.5
4808,328,Butland,2017/2018,5,13,4,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.0,3.0,2.0,1,3.0,4.0,2.6333333333333333
5108,350,Fabianski,2017/2018,5,14,5,0.6666666666666666,0.6666666666666666,0.0,1.0,4.0,7.333333333333332,11,6.0,5.8,4.066666666666666
5480,375,Lloris,2017/2018,5,5,14,0.6666666666666666,0.6666666666666666,1.0,0.0,6.0,4.666666666666667,6,1.0,4.4,1.1
5849,397,Gomes,2017/2018,5,11,1,1.0,3.333333333333333,3.0,0.3333333333333333,7.0,4.333333333333333,0,2.333333333333333,4.2,1.5666666666666669
6115,421,Foster,2017/2018,5,10,17,0.6666666666666666,0.5,0.3333333333333333,2.5,2.0,3.0,5,1.6666666666666667,4.4,1.0333333333333332
6783,469,Pope,2017/2018,5,7,8,0.3333333333333333,2.0,2.333333333333333,0.3333333333333333,2.0,0.0,4,0.0,0.0,0.0
6922,479,Hart,2017/2018,5,17,10,0.5,0.6666666666666666,2.5,0.3333333333333333,6.0,4.666666666666667,6,2.6666666666666665,3.0,1.866666666666667
6,2,Cech,2017/2018,6,7,12,3.0,0.6666666666666666,1.0,1.6666666666666667,10.0,7.333333333333332,6,2.6666666666666665,5.4,2.3000000000000003
415,29,Begovic,2017/2018,6,19,14,0.3333333333333333,1.0,2.0,1.3333333333333333,2.0,2.0,1,2.333333333333333,2.2,1.5333333333333334
802,54,Ryan,2017/2018,6,13,10,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,4.0,9,2.6666666666666665,3.8,1.7999999999999998
1418,94,Courtois,2017/2018,6,3,16,2.6666666666666665,1.0,0.6666666666666666,2.0,6.0,4.666666666666667,6,1.6666666666666667,5.2,1.2666666666666666
1781,115,Hennessey,2017/2018,6,20,1,0.0,3.6666666666666665,2.333333333333333,0.3333333333333333,3.0,2.0,1,2.6666666666666665,3.2,2.0333333333333328
2080,135,Pickford,2017/2018,6,14,19,1.0,0.3333333333333333,1.3333333333333333,2.0,1.0,2.0,3,3.0,2.4,2.8000000000000003
2416,163,Lössl,2017/2018,6,8,9,1.0,1.0,0.6666666666666666,1.3333333333333333,2.0,3.333333333333333,7,1.6666666666666667,4.8,1.0666666666666664
2768,189,Schmeichel,2017/2018,6,17,5,1.6666666666666667,2.0,1.6666666666666667,3.333333333333333,2.0,2.0,2,3.0,4.2,2.3000000000000007
3132,213,Mignolet,2017/2018,6,5,17,2.0,1.6666666666666667,3.333333333333333,1.6666666666666667,2.0,3.333333333333333,6,4.333333333333333,3.2,3.4000000000000004
3493,240,Santana de Moraes,2017/2018,6,1,20,3.6666666666666665,0.0,0.3333333333333333,2.333333333333333,6.0,4.666666666666667,6,1.3333333333333333,3.6,1.2000000000000004
3813,260,de Gea,2017/2018,6,2,11,3.0,0.75,1.0,1.25,7.0,5.666666666666668,8,3.0,6.0,1.9666666666666663
4188,286,Elliot,2017/2018,6,10,13,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,3.0,4.333333333333333,2,2.6666666666666665,4.4,2.0
4464,306,Forster,2017/2018,6,11,2,0.75,3.0,1.25,1.0,7.0,3.6666666666666665,3,2.333333333333333,5.0,1.766666666666666
4809,328,Butland,2017/2018,6,16,3,1.0,2.6666666666666665,2.0,0.6666666666666666,1.0,1.3333333333333333,0,2.6666666666666665,3.4,2.4000000000000004
5109,350,Fabianski,2017/2018,6,15,6,0.3333333333333333,2.0,2.333333333333333,0.3333333333333333,11.0,5.333333333333333,1,5.666666666666668,4.8,3.766666666666667
5481,375,Lloris,2017/2018,6,4,18,2.6666666666666665,2.0,0.6666666666666666,1.5,6.0,4.333333333333333,1,1.0,3.2,1.1
5850,397,Gomes,2017/2018,6,6,15,2.0,0.3333333333333333,0.3333333333333333,2.333333333333333,0.0,3.0,2,2.333333333333333,4.4,1.7333333333333334
6116,421,Foster,2017/2018,6,12,7,0.6666666666666666,3.0,1.6666666666666667,1.0,5.0,3.0,2,2.6666666666666665,3.4,2.0
6784,469,Pope,2017/2018,6,9,8,1.0,1.0,1.3333333333333333,0.6666666666666666,4.0,4.0,6,4.333333333333333,0.0,2.9
6923,479,Hart,2017/2018,6,18,4,2.0,2.6666666666666665,1.5,0.6666666666666666,6.0,4.333333333333333,1,1.6666666666666667,3.2,1.1666666666666667
7,2,Cech,2017/2018,7,5,14,2.75,0.25,0.75,1.5,6.0,7.333333333333332,6,2.333333333333333,6.0,1.8666666666666671
416,29,Begovic,2017/2018,7,19,17,0.75,1.0,1.25,1.75,1.0,3.0,6,0.6666666666666666,3.0,0.5333333333333335
803,54,Ryan,2017/2018,7,14,5,0.25,2.75,1.5,0.75,9.0,4.333333333333333,3,4.0,4.2,2.7
1419,94,Courtois,2017/2018,7,4,1,1.0,2.75,1.0,0.25,6.0,5.0,3,2.6666666666666665,4.6,2.0666666666666664
1782,115,Hennessey,2017/2018,7,20,2,0.0,2.75,2.75,0.75,1.0,1.6666666666666667,1,3.333333333333333,1.6,2.599999999999999
2081,135,Pickford,2017/2018,7,16,6,0.75,0.75,1.25,1.25,3.0,2.0,2,2.333333333333333,2.0,2.333333333333333
2417,163,Lössl,2017/2018,7,11,3,0.5,3.0,1.25,0.5,7.0,3.333333333333333,1,2.0,3.4,1.6666666666666663
2769,189,Schmeichel,2017/2018,7,17,19,1.0,0.75,1.75,1.25,2.0,4.666666666666667,10,3.0,5.0,2.3000000000000007
3133,213,Mignolet,2017/2018,7,7,9,1.75,1.5,2.75,1.0,6.0,3.6666666666666665,3,3.6666666666666665,3.8,2.8666666666666667
3494,240,Santana de Moraes,2017/2018,7,1,4,2.75,1.0,0.25,1.0,6.0,6.666666666666668,8,1.0,4.8,1.166666666666667
3814,260,de Gea,2017/2018,7,2,20,2.75,0.0,0.75,2.75,8.0,7.0,6,2.333333333333333,6.0,1.7333333333333334
4189,286,Elliot,2017/2018,7,9,7,1.5,1.75,1.0,2.75,2.0,2.333333333333333,2,2.0,4.4,1.5333333333333332
4465,306,Forster,2017/2018,7,12,13,0.6666666666666666,1.25,0.6666666666666666,1.75,3.0,6.333333333333332,9,3.6666666666666665,6.2,3.1666666666666665
4810,328,Butland,2017/2018,7,13,12,1.25,0.6666666666666666,1.75,0.6666666666666666,0.0,1.0,2,1.0,1.6,1.1000000000000003
5110,350,Fabianski,2017/2018,7,18,15,0.5,1.6666666666666667,0.25,1.0,1.0,5.0,3,4.333333333333333,5.2,2.766666666666667
5482,375,Lloris,2017/2018,7,3,11,3.0,0.5,0.5,1.25,1.0,4.333333333333333,6,1.0,4.2,1.2000000000000002
5851,397,Gomes,2017/2018,7,8,10,2.0,1.0,0.75,0.75,2.0,1.0,1,2.6666666666666665,3.2,2.0
6117,421,Foster,2017/2018,7,10,8,1.0,2.0,0.75,0.75,2.0,2.6666666666666665,1,2.0,2.4,1.6333333333333335
6785,469,Pope,2017/2018,7,6,16,0.75,0.75,1.25,1.25,6.0,6.333333333333332,9,4.666666666666667,0.0,3.8
6924,479,Hart,2017/2018,7,15,18,1.6666666666666667,0.5,1.0,0.25,1.0,4.333333333333333,6,1.3333333333333333,4.2,1.0333333333333332
8,2,Cech,2017/2018,8,6,4,0.25,1.25,1.75,2.5,6.0,4.333333333333333,1,1.3333333333333333,5.8,1.066666666666667
417,29,Begovic,2017/2018,8,19,3,0.25,0.75,1.75,0.75,6.0,3.0,2,2.333333333333333,2.8,1.9666666666666668
804,54,Ryan,2017/2018,8,14,16,1.25,0.5,1.0,2.0,3.0,5.0,3,5.333333333333333,3.6,3.8
1420,94,Courtois,2017/2018,8,5,20,2.25,0.5,1.0,1.75,3.0,3.6666666666666665,2,3.333333333333333,3.8,2.233333333333333
1793,116,Speroni,2017/2018,8,20,5,0.5,2.25,1.75,1.0,0.0,0.0,3,0.0,0.0,0.0
2082,135,Pickford,2017/2018,8,16,14,0.5,1.25,2.0,1.0,2.0,2.333333333333333,2,2.0,2.0,1.9666666666666663
2418,163,Lössl,2017/2018,8,12,13,0.75,0.75,1.0,1.75,1.0,3.0,1,2.333333333333333,2.4,2.1666666666666665
2770,189,Schmeichel,2017/2018,8,18,10,1.5,0.75,1.5,1.5,10.0,4.666666666666667,2,2.333333333333333,3.6,1.6666666666666676
3134,213,Mignolet,2017/2018,8,8,2,1.5,0.25,0.25,1.75,3.0,5.0,6,3.333333333333333,3.8,2.7000000000000006
3495,240,Santana de Moraes,2017/2018,8,1,17,4.5,1.0,0.75,2.75,8.0,5.0,1,0.6666666666666666,4.6,0.8666666666666668
3815,260,de Gea,2017/2018,8,2,8,0.25,1.5,1.75,0.25,6.0,7.666666666666668,9,3.0,6.4,2.1
4190,286,Elliot,2017/2018,8,9,11,0.75,1.0,1.0,1.4,2.0,1.6666666666666667,1,1.0,3.2,0.9666666666666665
4466,306,Forster,2017/2018,8,11,9,1.0,0.75,1.4,1.0,9.0,4.333333333333333,1,3.333333333333333,4.2,2.7
4811,328,Butland,2017/2018,8,17,1,1.0,4.5,2.75,0.75,2.0,0.6666666666666666,0,2.0,1.2,1.333333333333334
5111,350,Fabianski,2017/2018,8,13,12,0.75,0.75,1.75,1.0,3.0,3.333333333333333,6,2.333333333333333,5.0,1.6000000000000003
5483,375,Lloris,2017/2018,8,3,19,0.75,0.25,0.75,1.75,6.0,4.333333333333333,6,1.6666666666666667,5.0,1.866666666666667
5852,397,Gomes,2017/2018,8,4,6,1.25,0.25,2.5,1.75,1.0,2.0,3,3.0,2.6,2.2333333333333334
6110,420,Myhill,2017/2018,8,10,18,0.75,1.5,1.5,1.5,0.0,0.0,1,0.0,0.0,0.0
6786,469,Pope,2017/2018,8,7,15,0.5,0.6,2.0,2.2,9.0,6.333333333333332,4,3.6666666666666665,5.0,2.8000000000000003
6925,479,Hart,2017/2018,8,15,7,0.6,0.5,2.2,2.0,6.0,5.333333333333333,9,2.333333333333333,5.6,2.5
9,2,Cech,2017/2018,9,5,18,1.2,1.0,1.8,2.0,1.0,2.6666666666666665,1,1.0,4.8,0.5000000000000006
418,29,Begovic,2017/2018,9,19,17,0.6,1.2,1.6,1.8,2.0,3.333333333333333,2,2.333333333333333,2.6,2.233333333333334
805,54,Ryan,2017/2018,9,12,16,0.8,1.25,1.2,1.5,3.0,4.0,6,4.333333333333333,4.4,3.0
1421,94,Courtois,2017/2018,9,4,6,1.6,2.0,1.2,1.4,2.0,2.333333333333333,2,3.6666666666666665,3.8,2.3
1794,116,Speroni,2017/2018,9,20,7,0.0,1.4,2.4,0.8,3.0,0.0,2,0.0,0.0,0.0
2083,135,Pickford,2017/2018,9,18,5,1.0,1.2,2.0,1.8,2.0,2.333333333333333,3,4.0,2.2,3.1666666666666665
2419,163,Lössl,2017/2018,9,11,2,0.8,1.2,1.2,1.8,1.0,2.333333333333333,5,2.0,3.2,2.9666666666666663
2771,189,Schmeichel,2017/2018,9,14,15,1.2,0.8,1.6,1.8,2.0,5.0,3,2.333333333333333,3.8,1.6000000000000008
3135,213,Mignolet,2017/2018,9,9,3,1.6,1.4,3.0,0.8,6.0,3.0,0,2.0,3.4,1.2000000000000004
