,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
14311,386,Davies,2016/17,33,2,16,2.5294117647058822,1.1764705882352942,1.0588235294117647,1.9411764705882355,6.0,4.666666666666667,6,4.4,4.866666666666668
15164,409,Prödl,2016/17,33,10,18,1.4705882352941178,0.8823529411764706,0.6470588235294118,2.0588235294117645,1.0,2.6666666666666665,6,1.6,2.399999999999998
15238,411,Holebas,2016/17,33,10,18,1.4705882352941178,0.8823529411764706,0.6470588235294118,2.0588235294117645,0.0,4.666666666666667,8,4.2,4.86666666666667
15349,414,Kabasele,2016/17,33,10,18,1.4705882352941178,0.8823529411764706,0.6470588235294118,2.0588235294117645,1.0,3.0,1,3.0,4.366666666666668
15979,431,Evans,2016/17,33,8,3,1.2222222222222223,1.6470588235294117,1.6111111111111112,1.4705882352941178,1.0,1.0,1,2.8,3.5000000000000013
16053,433,Dawson,2016/17,33,8,3,1.2222222222222223,1.6470588235294117,1.6111111111111112,1.4705882352941178,2.0,1.6666666666666667,2,5.6,3.366666666666668
16164,436,McAuley,2016/17,33,8,3,1.2222222222222223,1.6470588235294117,1.6111111111111112,1.4705882352941178,1.0,1.0,2,2.6,1.433333333333335
16238,438,Brunt,2016/17,33,8,3,1.2222222222222223,1.6470588235294117,1.6111111111111112,1.4705882352941178,1.0,1.0,1,2.2,3.2333333333333325
16758,452,Collins,2016/17,33,13,20,0.8823529411764706,1.2352941176470589,1.9411764705882355,0.8823529411764706,7.0,5.666666666666668,9,3.8,5.199999999999998
16948,457,Byram,2016/17,33,13,20,0.8823529411764706,1.2352941176470589,1.9411764705882355,0.8823529411764706,8.0,2.0,-2,1.6,2.433333333333333
17669,476,Denayer,2016/17,33,20,13,1.2352941176470589,0.8823529411764706,0.8823529411764706,1.9411764705882355,1.0,1.0,1,2.2,1.5999999999999996
17706,477,Barragán,2016/17,33,19,6,0.9375,2.0,1.25,1.6875,6.0,2.333333333333333,1,2.8,2.9999999999999982
17964,484,Holding,2016/17,33,6,19,2.0,0.9375,1.6875,1.25,2.0,3.0,2,0.0,3.066666666666667
18371,495,Holgate,2016/17,33,7,14,2.3529411764705883,0.5882352941176471,2.117647058823529,1.3529411764705883,1.0,1.6666666666666667,2,1.4,3.0000000000000013
18408,496,Chilwell,2016/17,33,12,15,0.9375,1.25,2.0,1.75,0.0,0.6666666666666666,1,0.8,0.7000000000000001
18703,504,Stephens,2016/17,33,9,4,1.4666666666666666,2.117647058823529,2.2666666666666666,1.4705882352941178,9.0,5.0,1,4.8,3.5333333333333345
18741,505,Masuaku,2016/17,33,13,20,0.8823529411764706,1.2352941176470589,1.9411764705882355,0.8823529411764706,9.0,3.6666666666666665,1,2.6,1.6666666666666654
19564,527,Fabio,2016/17,33,19,6,0.9375,2.0,1.25,1.6875,5.0,2.333333333333333,1,1.8,1.9999999999999996
19962,538,Manquillo,2016/17,33,20,13,1.2352941176470589,0.8823529411764706,0.8823529411764706,1.9411764705882355,0.0,0.6666666666666666,1,1.6,1.1000000000000012
20032,540,Janmaat,2016/17,33,10,18,1.4705882352941178,0.8823529411764706,0.6470588235294118,2.0588235294117645,0.0,2.333333333333333,6,2.8,2.3666666666666654
20585,556,Mariappa,2016/17,33,10,18,1.4705882352941178,0.8823529411764706,0.6470588235294118,2.0588235294117645,0.0,3.333333333333333,9,0.0,2.5666666666666664
20655,558,Mawson,2016/17,33,18,10,0.8823529411764706,1.4705882352941178,2.0588235294117645,0.6470588235294118,2.0,1.6666666666666667,2,1.8,2.7333333333333343
20792,562,Martins Indi,2016/17,33,11,17,1.3529411764705883,0.9411764705882352,1.4705882352941178,2.0588235294117645,1.0,1.3333333333333333,2,1.0,3.333333333333336
21067,570,David Luiz,2016/17,33,1,5,1.2941176470588236,1.3529411764705883,1.3529411764705883,0.7058823529411765,2.0,1.6666666666666667,1,2.4,2.266666666666668
22690,633,Olsson,2016/17,33,18,10,0.8823529411764706,1.4705882352941178,2.0588235294117645,0.6470588235294118,2.0,1.6666666666666667,2,2.2,0.8333333333333325
22768,638,Ranocchia,2016/17,33,17,11,0.9411764705882352,1.3529411764705883,2.0588235294117645,1.4705882352941178,7.0,4.333333333333333,5,4.8,5.166666666666665
103,3,Koscielny,2016/17,34,6,15,2.0,0.8823529411764706,1.0625,1.9411764705882355,2.0,2.6666666666666665,6,2.0,2.8666666666666667
175,5,Gabriel,2016/17,34,6,15,2.0,0.8823529411764706,1.0625,1.9411764705882355,1.0,2.6666666666666665,6,3.4,3.233333333333333
211,6,Bellerín,2016/17,34,6,15,2.0,0.8823529411764706,1.0625,1.9411764705882355,1.0,3.0,7,3.0,4.033333333333332
247,7,Gibbs,2016/17,34,6,15,2.0,0.8823529411764706,1.0625,1.9411764705882355,5.0,6.0,8,4.6,5.866666666666667
355,10,Monreal,2016/17,34,6,15,2.0,0.8823529411764706,1.0625,1.9411764705882355,2.0,5.0,12,4.4,2.633333333333335
392,11,Chambers,2016/17,34,19,13,0.6470588235294118,1.9411764705882355,1.4705882352941178,1.3529411764705883,7.0,3.0,0,4.2,4.433333333333335
1120,31,Francis,2016/17,34,13,19,1.9411764705882355,0.6470588235294118,1.3529411764705883,1.4705882352941178,0.0,2.333333333333333,6,2.8,2.9333333333333336
1158,32,Steve Cook,2016/17,34,13,19,1.9411764705882355,0.6470588235294118,1.3529411764705883,1.4705882352941178,0.0,2.333333333333333,6,3.6,3.300000000000003
1196,33,Daniels,2016/17,34,13,19,1.9411764705882355,0.6470588235294118,1.3529411764705883,1.4705882352941178,0.0,5.0,14,4.4,6.566666666666669
1234,34,Smith,2016/17,34,13,19,1.9411764705882355,0.6470588235294118,1.3529411764705883,1.4705882352941178,0.0,1.6666666666666667,6,2.6,1.8666666666666685
2031,55,Lowton,2016/17,34,16,5,1.3529411764705883,1.8,1.1176470588235294,0.8666666666666667,1.0,2.333333333333333,0,2.8,2.6999999999999997
2069,56,Mee,2016/17,34,16,5,1.3529411764705883,1.8,1.1176470588235294,0.8666666666666667,-1.0,2.0,0,3.0,3.5666666666666687
2107,57,Ward,2016/17,34,16,5,1.3529411764705883,1.8,1.1176470588235294,0.8666666666666667,1.0,3.333333333333333,1,3.2,2.3666666666666685
2145,58,Keane,2016/17,34,16,5,1.3529411764705883,1.8,1.1176470588235294,0.8666666666666667,1.0,2.333333333333333,1,3.2,5.966666666666668
2183,59,Tarkowski,2016/17,34,16,5,1.3529411764705883,1.8,1.1176470588235294,0.8666666666666667,1.0,1.0,1,1.0,0.1999999999999993
2788,75,Terry,2016/17,34,1,9,2.125,1.2941176470588236,1.125,1.4705882352941178,1.0,0.6666666666666666,1,2.0,1.3666666666666665
2862,77,Azpilicueta,2016/17,34,1,9,2.125,1.2941176470588236,1.125,1.4705882352941178,1.0,1.6666666666666667,1,2.2,3.06666666666667
2899,78,Cahill,2016/17,34,1,9,2.125,1.2941176470588236,1.125,1.4705882352941178,0.0,3.0,7,2.2,3.700000000000001
3823,103,Tomkins,2016/17,34,12,3,1.5294117647058822,2.4705882352941178,1.6470588235294117,0.9411764705882352,1.0,3.6666666666666665,2,4.8,2.633333333333336
3897,105,Ward,2016/17,34,12,3,1.5294117647058822,2.4705882352941178,1.6470588235294117,0.9411764705882352,1.0,3.0,2,2.4,3.1666666666666656
3934,106,Kelly,2016/17,34,12,3,1.5294117647058822,2.4705882352941178,1.6470588235294117,0.9411764705882352,1.0,3.0,2,2.2,2.7000000000000006
3971,107,Delaney,2016/17,34,12,3,1.5294117647058822,2.4705882352941178,1.6470588235294117,0.9411764705882352,1.0,0.6666666666666666,1,0.8,0.8333333333333343
4641,125,Baines,2016/17,34,7,14,1.1176470588235294,1.1764705882352942,1.5882352941176472,1.9411764705882355,6.0,4.0,6,3.0,5.533333333333331
