,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
10391,281,Adomah,2016/17,2,6,18,0.0,2.0,0.0,2.0,2.0,0.0,1,0.0,0.0
10428,282,Downing,2016/17,2,6,18,0.0,2.0,0.0,2.0,1.0,0.0,2,0.0,0.0
10465,283,Clayton,2016/17,2,6,18,0.0,2.0,0.0,2.0,2.0,0.0,1,0.0,0.0
10576,286,Forshaw,2016/17,2,6,18,0.0,2.0,0.0,2.0,1.0,0.0,2,0.0,0.0
11234,304,Redmond,2016/17,2,16,2,0.0,2.0,1.0,0.0,10.0,0.0,2,0.0,0.0
11270,305,Davis,2016/17,2,16,2,0.0,2.0,1.0,0.0,2.0,0.0,2,0.0,0.0
11378,308,Tadic,2016/17,2,16,2,0.0,2.0,1.0,0.0,2.0,0.0,2,0.0,0.0
11414,309,Clasie,2016/17,2,16,2,0.0,2.0,1.0,0.0,0.0,0.0,2,0.0,0.0
11450,310,Oriol Romeu,2016/17,2,16,2,0.0,2.0,1.0,0.0,2.0,0.0,1,0.0,0.0
11486,311,Rodriguez,2016/17,2,16,2,0.0,2.0,1.0,0.0,0.0,0.0,1,0.0,0.0
11522,312,Højbjerg,2016/17,2,16,2,0.0,2.0,1.0,0.0,1.0,0.0,2,0.0,0.0
12148,329,Whelan,2016/17,2,17,1,1.0,4.0,4.0,1.0,3.0,0.0,2,0.0,0.0
12185,330,Walters,2016/17,2,17,1,1.0,4.0,4.0,1.0,1.0,0.0,1,0.0,0.0
12222,331,Arnautovic,2016/17,2,17,1,1.0,4.0,4.0,1.0,1.0,0.0,2,0.0,0.0
12333,334,Imbula,2016/17,2,17,1,1.0,4.0,4.0,1.0,3.0,0.0,2,0.0,0.0
12370,335,Bojan,2016/17,2,17,1,1.0,4.0,4.0,1.0,2.0,0.0,6,0.0,0.0
12925,350,Rodwell,2016/17,2,18,6,2.0,0.0,2.0,0.0,6.0,0.0,2,0.0,0.0
12962,351,Lens,2016/17,2,18,6,2.0,0.0,2.0,0.0,0.0,0.0,1,0.0,0.0
13036,353,Watmore,2016/17,2,18,6,2.0,0.0,2.0,0.0,2.0,0.0,5,0.0,0.0
13565,367,Cork,2016/17,2,12,3,0.0,2.0,2.0,2.0,3.0,0.0,2,0.0,0.0
13603,368,Sigurdsson,2016/17,2,12,3,0.0,2.0,2.0,2.0,1.0,0.0,2,0.0,0.0
13641,369,Routledge,2016/17,2,12,3,0.0,2.0,2.0,2.0,3.0,0.0,1,0.0,0.0
13755,372,Ki Sung-yueng,2016/17,2,12,3,0.0,2.0,2.0,2.0,0.0,0.0,1,0.0,0.0
13793,373,Montero,2016/17,2,12,3,0.0,2.0,2.0,2.0,1.0,0.0,1,0.0,0.0
13869,375,Fer,2016/17,2,12,3,0.0,2.0,2.0,2.0,11.0,0.0,3,0.0,0.0
13907,376,Dyer,2016/17,2,12,3,0.0,2.0,2.0,2.0,0.0,0.0,1,0.0,0.0
14429,390,Dier,2016/17,2,7,19,1.0,0.0,0.0,1.0,1.0,0.0,2,0.0,0.0
14540,393,Lamela,2016/17,2,7,19,1.0,0.0,0.0,1.0,9.0,0.0,3,0.0,0.0
14577,394,Eriksen,2016/17,2,7,19,1.0,0.0,0.0,1.0,2.0,0.0,3,0.0,0.0
14689,397,Carroll,2016/17,2,12,19,0.0,0.0,2.0,1.0,0.0,0.0,1,0.0,0.0
14727,398,Alli,2016/17,2,7,19,1.0,0.0,0.0,1.0,2.0,0.0,1,0.0,0.0
14764,399,Onomah,2016/17,2,7,19,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0
14801,400,Wanyama,2016/17,2,7,19,1.0,0.0,0.0,1.0,2.0,0.0,11,0.0,0.0
15356,415,Guédioura,2016/17,2,6,4,0.0,0.0,0.0,2.0,1.0,0.0,5,0.0,0.0
15393,416,Capoue,2016/17,2,14,4,2.0,0.0,2.0,2.0,10.0,0.0,9,0.0,0.0
15541,420,Behrami,2016/17,2,14,4,2.0,0.0,2.0,2.0,2.0,0.0,1,0.0,0.0
15615,422,Amrabat,2016/17,2,14,4,2.0,0.0,2.0,2.0,2.0,0.0,5,0.0,0.0
16244,439,Fletcher,2016/17,2,9,5,2.0,2.0,0.0,1.0,3.0,0.0,2,0.0,0.0
16281,440,Gardner,2016/17,2,9,5,2.0,2.0,0.0,1.0,3.0,0.0,5,0.0,0.0
16355,442,Yacob,2016/17,2,9,5,2.0,2.0,0.0,1.0,3.0,0.0,2,0.0,0.0
16429,444,McClean,2016/17,2,9,5,2.0,2.0,0.0,1.0,4.0,0.0,1,0.0,0.0
16466,445,Leko,2016/17,2,9,5,2.0,2.0,0.0,1.0,0.0,0.0,1,0.0,0.0
16503,446,Phillips,2016/17,2,9,5,2.0,2.0,0.0,1.0,3.0,0.0,2,0.0,0.0
16955,458,Noble,2016/17,2,10,20,2.0,0.0,0.0,0.0,2.0,0.0,3,0.0,0.0
16993,459,Kouyaté,2016/17,2,10,20,2.0,0.0,0.0,0.0,2.0,0.0,3,0.0,0.0
17031,460,Obiang,2016/17,2,10,20,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
17183,464,Antonio,2016/17,2,10,20,2.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0
17221,465,Nordtveit,2016/17,2,10,20,2.0,0.0,0.0,0.0,2.0,0.0,3,0.0,0.0
17297,467,Töre,2016/17,2,10,20,2.0,0.0,0.0,0.0,1.0,0.0,6,0.0,0.0
17525,473,Gudmundsson,2016/17,2,8,11,1.0,2.0,0.5,2.5,1.0,0.0,1,0.0,0.0
17601,475,Grujic,2016/17,2,11,8,2.0,1.0,2.5,0.5,0.0,0.0,1,0.0,0.0
17861,482,Doucouré,2016/17,2,14,4,2.0,0.0,2.0,2.0,0.0,0.0,1,0.0,0.0
17971,485,Wijnaldum,2016/17,2,11,8,2.0,1.0,2.5,0.5,5.0,0.0,2,0.0,0.0
18009,486,Sobhi,2016/17,2,17,1,1.0,4.0,4.0,1.0,0.0,0.0,1,0.0,0.0
