,assists,bonus,clean_sheets,creativity,id,fixture,goals_conceded,goals_scored,ict_index,influence,key_passes,minutes,opponent_team,round,saves,threat,total_points,value,was_home,season,first_name,name,team,opponents,position,opponent_position,team_goals,opposition_goals,team_pot
1123,0,0,0,3.9,457,129,1,0,1.4,7.6,0,90,9,13,0,2.0,2,59,True,2017/2018,Andy,Carroll,West Ham United,Leicester City,18,12,1.0,1.0,1.1666666666666667
1124,0,0,0,0.0,457,138,0,0,0.0,0.0,0,0,7,14,0,0.0,0,59,False,2017/2018,Andy,Carroll,West Ham United,Everton,18,13,0.0,4.0,0.625
1125,0,0,0,0.0,457,147,0,0,0.0,0.0,0,0,11,15,0,0.0,0,59,False,2017/2018,Andy,Carroll,West Ham United,Manchester City,19,1,1.0,2.0,0.6666666666666666
1126,0,0,0,0.0,457,159,0,0,0.0,0.0,0,0,5,16,0,0.0,0,59,True,2017/2018,Andy,Carroll,West Ham United,Chelsea,18,3,1.0,0.0,1.1428571428571428
1127,0,0,0,0.0,457,170,0,0,0.0,0.0,0,0,1,17,0,0.0,0,59,True,2017/2018,Andy,Carroll,West Ham United,Arsenal,19,7,0.0,0.0,1.0
1128,0,0,0,0.0,457,178,0,0,0.0,0.0,0,0,15,18,0,0.0,0,58,False,2017/2018,Andy,Carroll,West Ham United,Stoke City,15,17,3.0,0.0,0.9
1129,1,0,0,12.7,457,190,1,0,7.6,6.4,1,31,13,19,0,57.0,4,58,True,2017/2018,Andy,Carroll,West Ham United,Newcastle United,17,15,2.0,3.0,1.1111111111111112
1130,0,0,0,1.5,457,191,1,0,1.6,7.8,0,30,2,20,0,7.0,1,58,False,2017/2018,Andy,Carroll,West Ham United,AFC Bournemouth,17,18,3.0,3.0,1.0909090909090908
1131,0,3,0,27.3,457,220,1,2,14.2,69.6,2,90,19,22,0,45.0,12,58,True,2017/2018,Andy,Carroll,West Ham United,West Bromwich Albion,15,19,2.0,1.0,1.2
1132,0,0,0,0.3,457,208,0,0,0.1,0.2,0,5,17,22,0,0.0,0,58,False,2017/2018,Andy,Carroll,West Ham United,Tottenham Hotspur,15,5,1.0,1.0,1.2
