,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
15746,425,Deeney,2016/17,22,14,12,1.3636363636363635,2.090909090909091,1.8181818181818181,1.2727272727272727,1.0,4.0,9,4.4,7.53333333333333
15783,426,Ighalo,2016/17,22,14,12,1.3636363636363635,2.090909090909091,1.8181818181818181,1.2727272727272727,1.0,1.3333333333333333,1,1.6,1.1333333333333322
16634,449,Rondón,2016/17,22,8,20,1.3333333333333333,1.2727272727272727,1.9166666666666667,1.6363636363636365,2.0,3.0,2,2.4,7.4333333333333345
17355,468,Carroll,2016/17,22,10,16,0.5454545454545454,1.0909090909090908,2.0,1.2727272727272727,5.0,6.333333333333332,13,5.8,9.566666666666668
17733,478,Negredo,2016/17,22,16,10,1.0909090909090908,0.5454545454545454,1.2727272727272727,2.0,2.0,2.0,2,2.4,5.2
18545,500,Llorente,2016/17,22,17,4,1.0909090909090908,2.8,2.1818181818181817,0.8,2.0,5.333333333333333,13,4.4,7.666666666666668
18805,507,Bastón,2016/17,22,17,4,1.0909090909090908,2.8,2.1818181818181817,0.8,1.0,1.0,1,1.6,0.7666666666666658
19517,526,Calleri,2016/17,22,10,16,0.5454545454545454,1.0909090909090908,2.0,1.2727272727272727,1.0,2.333333333333333,5,1.8,2.833333333333333
20162,544,Ngoy,2016/17,22,9,6,1.2727272727272727,1.4545454545454546,1.7272727272727273,1.0909090909090908,1.0,1.0,1,0.0,1.3
20439,552,Okaka,2016/17,22,14,12,1.3636363636363635,2.090909090909091,1.8181818181818181,1.2727272727272727,1.0,5.333333333333333,2,3.8,6.366666666666667
20473,553,Bamford,2016/17,22,16,10,1.0909090909090908,0.5454545454545454,1.2727272727272727,2.0,1.0,1.0,1,1.0,0.06666666666666668
21091,571,Robson-Kanu,2016/17,22,8,20,1.3333333333333333,1.2727272727272727,1.9166666666666667,1.6363636363636365,1.0,1.0,1,2.8,0.7333333333333342
21228,575,Anichebe,2016/17,22,20,8,1.2727272727272727,1.3333333333333333,1.6363636363636365,1.9166666666666667,1.0,1.3333333333333333,1,1.6,2.500000000000004
