,round,team_rank,opponent_team_rank,team_pot,opp_concede_pot,prev_points,form_points,long_form,ict_form,total_points,Predicted,Prediction_Error
6108,2,10,7,1.4166666666666667,1.1666666666666667,1.0,1.3333333333333333,1.2,1.4,1,1.8,0.8
15728,1,10,17,2.5,0.5,1.0,2.6666666666666665,0.0,3.0333333333333328,6,4.2,1.7999999999999998
21872,3,7,14,1.1176470588235294,1.9411764705882355,1.0,1.3333333333333333,2.2,0.6,1,2.4,1.4
5407,1,3,20,1.3333333333333333,2.1666666666666665,1.0,1.0,0.8,0.5333333333333333,1,3.2,2.2
3793,1,2,8,3.0,4.0,9.0,7.333333333333332,0.0,8.966666666666667,12,9.5,2.5
8955,2,3,20,2.4444444444444446,1.7777777777777777,1.0,2.333333333333333,1.8,4.799999999999999,5,4.8,0.20000000000000018
2728,1,10,13,0.5,1.0,2.0,2.0,3.4,3.0333333333333337,2,2.5,0.5
21083,2,7,11,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,0.2666666666666672,1,1.3,0.30000000000000004
2375,2,9,2,1.5454545454545454,1.0909090909090908,1.0,1.3333333333333333,2.2,0.4666666666666656,1,1.7,0.7
8080,1,3,13,2.1666666666666665,2.2,1.0,1.0,1.0,0.5666666666666661,1,3.1,2.1
14915,1,3,19,1.0,0.6666666666666666,6.0,5.666666666666668,4.8,11.166666666666664,9,6.6,2.4000000000000004
21017,2,20,13,1.3333333333333333,2.1111111111111107,5.0,3.0,2.6,7.699999999999998,2,2.5,0.5
5440,2,20,13,0.5,1.875,2.0,2.0,1.8,2.833333333333334,2,2.0,0.0
4781,1,11,12,0.0,0.0,0.0,0.0,0.0,0.0,2,-0.3,2.3
6950,2,14,10,0.75,1.125,1.0,1.0,1.2,1.366666666666667,1,1.0,0.0
8888,2,3,17,1.9166666666666667,2.1666666666666665,1.0,1.3333333333333333,2.6,3.6,1,3.4,2.4
7978,2,4,17,2.8,2.1818181818181817,6.0,4.333333333333333,3.6,8.133333333333333,1,5.7,4.7
11559,1,15,16,0.5,0.5,2.0,1.6666666666666667,0.0,3.7,1,1.5,0.5
6933,3,11,3,0.8947368421052632,1.1764705882352942,2.0,4.666666666666667,3.4,4.933333333333335,7,5.3,1.7000000000000002
796,3,11,15,1.4285714285714286,1.6428571428571428,2.0,1.3333333333333333,3.6,4.133333333333336,1,1.7,0.7
22620,3,19,12,0.9333333333333332,1.25,2.0,1.3333333333333333,2.2,4.8,2,0.6,1.4
5094,1,13,12,1.25,0.6666666666666666,1.0,2.0,0.0,2.8666666666666663,0,2.6,2.6
7613,3,18,3,1.0666666666666669,1.5714285714285714,2.0,1.6666666666666667,0.0,2.6666666666666665,2,0.9,1.1
394,1,6,1,1.1666666666666667,0.6666666666666666,2.0,4.0,3.2,7.066666666666667,4,4.9,0.9000000000000004
1953,3,15,1,1.8125,1.3125,1.0,1.0,1.0,1.4333333333333331,1,0.6,0.4
3440,1,5,14,2.0,1.2,2.0,5.0,3.8,8.466666666666663,5,7.4,2.4000000000000004
9971,2,6,9,1.4545454545454546,1.7272727272727273,1.0,4.666666666666667,3.4,6.2333333333333325,8,6.9,1.0999999999999996
3458,1,10,7,0.6666666666666666,2.333333333333333,5.0,3.0,0.0,9.1,2,2.9,0.8999999999999999
2059,1,20,16,1.0,2.0,2.0,1.6666666666666667,1.4,3.3666666666666663,1,2.2,1.2000000000000002
19527,3,14,18,1.25,2.125,1.0,1.0,1.8,3.5,1,1.8,0.8
