assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,233963,0,0,-2,2,0.0,0,0,2,1.0,-0.5,0,Konstantinos,0.0,0,0,0.0,595,False,0.0,0,0,0,0,0,,None,43,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,27,a,1,3,0.0,0,667,4,467,13,0.0,0.0,Mavropanos,0
0,0,35,100,100,0,54694,0,0,0,0,10.0,0,0,4,3.7,2.2,0,Pierre-Emerick,2.7,2,1,10.8,616,False,40.0,0,0,0,0,180,,2018-02-03T16:31:19Z,105,0,0,0,54694.jpg,4.0,0,0,Aubameyang,4.9,False,14,a,1,3,58.0,8,375297,4418,99724,5919,0.3,0.8,Aubameyang,0
0,4,460,None,None,5,40349,0,0,0,0,20.0,3,0,1,2.5,3.0,1,Asmir,2.5,43,0,58.1,29,False,563.8,0,0,0,0,2520,,None,45,0,0,1,40349.jpg,3.0,0,78,Begovic,4.1,False,27,a,2,91,0.0,84,169366,313,234052,827,0.6,18.7,Begovic,2
0,0,0,None,None,0,18726,0,0,-4,4,0.0,0,0,1,0.0,0.5,0,Artur,0.0,0,0,0.0,30,False,0.0,0,0,0,0,0,,None,41,0,0,0,18726.jpg,0.0,0,0,Boruc,1.2,False,1,a,2,91,0.0,0,7767,47,153840,80,0.0,0.0,Boruc,0
0,0,0,100,100,0,15885,0,0,0,0,0.0,0,0,1,0.0,0.5,0,Adam,0.0,0,0,0.0,31,False,0.0,0,0,0,0,0,,2017-08-31T20:01:14Z,40,0,0,0,15885.jpg,0.0,0,0,Federici,2.2,False,32,a,2,91,0.0,0,18350,69,139077,115,0.0,0.0,Federici,0
0,1,356,100,100,3,15149,0,0,-2,2,295.2,0,0,2,2.0,2.5,1,Simon,2.0,33,0,93.5,32,False,540.2,0,0,0,0,2062,,2017-12-26T14:01:16Z,43,0,0,0,15149.jpg,1.6,1,0,Francis,1.5,False,2,a,2,91,98.0,39,108377,349,165678,631,0.5,9.1,Francis,7
0,6,321,100,100,4,56917,0,0,-4,4,39.4,2,0,2,1.8,2.3,1,Steve,1.8,35,2,79.6,33,False,558.0,0,0,0,0,1864,,2018-02-11T12:01:19Z,46,1,0,0,56917.jpg,2.5,0,0,Cook,1.1,False,3,a,2,91,199.0,61,120235,167,108485,331,0.4,13.3,Steve Cook,4
1,4,424,100,100,5,41320,0,0,-3,3,347.5,0,0,2,2.0,2.5,0,Charlie,2.0,34,1,91.2,34,False,419.2,0,0,0,0,2142,,2017-12-30T15:01:17Z,47,0,0,0,41320.jpg,2.8,0,0,Daniels,6.8,False,11,a,2,91,145.0,70,532771,541,1049969,3126,0.4,14.9,Daniels,0
2,3,342,100,100,2,54469,0,0,-2,2,303.5,0,0,2,2.0,2.5,7,Adam,2.0,32,1,83.3,35,False,397.2,0,0,0,0,1831,,2018-02-11T12:01:19Z,48,0,0,0,54469.jpg,2.1,0,0,Smith,0.4,False,15,a,2,91,132.0,51,9013,369,44491,55,0.4,10.6,Adam Smith,5
0,0,17,0,0,0,149484,0,0,-2,2,0.3,0,0,2,0.0,0.0,0,Tyrone,0.0,4,0,2.5,36,False,22.6,0,0,0,0,135,Back injury - Unknown return date,2017-09-22T08:31:14Z,43,0,0,0,149484.jpg,0.0,0,0,Mings,0.1,False,26,i,2,91,2.0,0,2521,8,17455,14,0.0,0.0,Mings,1
0,0,0,100,100,0,120447,0,0,-1,1,0.0,0,0,2,0.0,0.5,0,Bradley,0.0,0,0,0.0,37,False,0.0,0,0,0,0,0,,2017-10-10T11:31:14Z,39,0,0,0,120447.jpg,0.0,0,0,Smith,2.9,False,14,a,2,91,0.0,0,89557,717,185392,454,0.0,0.0,Brad Smith,0
2,8,489,100,100,5,126184,0,0,0,0,89.0,1,0,2,5.0,5.5,4,Nathan,5.0,41,2,96.8,38,False,707.6,0,0,0,0,2452,,2017-08-30T23:01:13Z,50,0,0,0,126184.jpg,3.0,0,0,Aké,6.3,False,5,a,2,91,170.0,83,324429,5163,379767,2514,1.0,16.6,Aké,4
0,0,156,100,100,3,48615,0,0,-3,3,76.1,0,0,3,0.0,0.5,0,Harry,0.0,13,1,29.2,39,False,146.0,0,0,0,0,959,,2018-01-20T18:01:16Z,47,0,0,0,48615.jpg,2.1,0,0,Arter,0.3,False,8,a,2,91,69.0,27,13544,18,40505,45,0.0,5.7,Arter,4
0,0,80,None,None,4,20037,0,0,-3,3,161.0,0,0,3,0.5,1.0,0,Marc,0.5,15,0,44.0,40,False,77.6,0,0,0,0,794,,None,47,0,0,0,20037.jpg,1.5,0,0,Pugh,0.1,False,7,a,2,91,204.0,26,2869,3,6609,10,0.1,5.5,Pugh,2
4,7,295,100,100,4,15237,0,0,0,0,197.9,1,0,3,0.0,0.5,0,Andrew,0.0,24,2,66.8,41,False,382.6,0,0,0,0,1530,,2018-01-01T12:31:17Z,45,0,0,0,15237.jpg,3.9,0,0,Surman,3.7,False,6,a,2,91,88.0,66,788020,333,673350,2016,0.0,14.7,Surman,1
3,4,205,100,100,2,56872,0,0,-1,1,268.1,2,0,3,5.5,6.0,2,Junior,5.5,17,3,86.1,42,False,270.0,0,0,0,0,985,,2018-01-20T14:01:19Z,59,0,0,0,56872.jpg,3.7,0,0,Stanislas,0.6,False,19,a,2,91,326.0,55,51783,290,28961,721,0.9,9.3,Stanislas,1
1,4,174,100,100,1,40387,0,0,-2,2,176.1,1,0,3,3.5,4.0,9,Dan,3.5,26,2,64.7,43,False,266.4,0,0,0,0,1272,,2017-09-30T13:01:14Z,48,0,0,0,40387.jpg,2.5,0,0,Gosling,0.1,False,4,a,2,91,204.0,45,6614,258,7222,48,0.7,9.4,Gosling,5
0,0,0,0,0,0,59741,0,0,0,0,0.0,0,0,3,0.0,0.0,0,Max,0.0,0,0,0.0,44,False,0.0,0,0,0,0,0,Season-long loan to Toulouse,2017-08-18T06:54:02Z,50,0,0,0,59741.jpg,0.0,0,0,Gradel,0.0,False,10,u,2,91,0.0,0,139,0,4072,11,0.0,0.0,Gradel,0
6,2,233,75,100,4,103912,0,0,-1,1,484.1,0,0,3,2.3,3.5,0,Jordon,3.0,25,1,129.6,45,False,288.8,0,0,0,0,1581,Knock - 75% chance of playing,2018-02-25T21:01:18Z,49,0,0,0,103912.jpg,2.7,0,0,Ibe,2.0,False,33,d,2,91,525.0,67,159409,175,75574,4221,0.6,13.7,Ibe,1
2,0,233,None,None,2,155408,0,0,-2,2,275.8,0,0,3,3.0,3.5,5,Lewis,3.0,26,0,67.7,46,False,308.6,0,0,0,0,1453,,None,43,0,0,0,155408.jpg,2.0,0,0,Cook,1.2,False,16,a,2,91,91.0,41,69136,1514,61825,317,0.7,9.5,Lewis Cook,3
2,8,255,100,100,1,90105,0,0,-4,4,399.8,2,0,3,3.0,3.5,2,Ryan,3.0,26,4,101.2,47,False,322.6,0,0,0,0,1373,,2018-01-01T12:31:17Z,51,0,0,0,90105.jpg,3.6,0,0,Fraser,1.2,False,24,a,2,91,293.0,69,97150,232,99335,1039,0.6,13.5,Fraser,0
2,10,243,100,100,4,75115,0,0,0,0,188.9,3,0,4,4.5,5.0,2,Callum,4.5,20,7,109.0,48,False,328.2,0,0,0,0,1308,,2017-12-17T16:31:16Z,60,0,0,0,75115.jpg,4.3,0,0,Wilson,9.6,False,13,a,2,91,575.0,77,1024065,1748,498261,11804,0.8,12.8,Wilson,0
1,0,73,0,0,0,88498,0,0,-3,3,62.6,0,0,4,0.0,0.0,0,Benik,0.0,12,0,31.3,49,False,33.8,0,0,0,0,534,Season-long loan to Wolves,2018-02-01T09:31:17Z,57,0,0,0,88498.jpg,1.4,0,0,Afobe,0.2,False,9,u,2,91,219.0,24,7411,0,33549,30,0.0,4.2,Afobe,0
0,3,58,None,None,1,178304,0,0,-1,1,23.8,1,0,4,2.5,3.0,1,Lys,2.5,6,1,24.0,50,False,55.0,0,0,0,0,265,,None,49,0,0,0,178304.jpg,1.5,0,0,Mousset,0.2,False,31,a,2,91,163.0,21,15594,91,13340,187,0.5,4.3,Mousset,1
3,3,212,100,100,5,78007,0,0,-5,5,377.1,0,0,4,2.5,3.0,2,Joshua,2.5,24,3,128.5,51,False,337.0,0,0,0,0,1688,,2018-01-20T14:01:19Z,70,0,0,0,78007.jpg,2.7,0,0,King,1.1,False,17,a,2,91,570.0,63,96742,199,331544,308,0.4,9.0,King,2
1,4,132,100,75,2,7958,0,0,-4,4,110.2,1,0,4,0.3,0.6,1,Jermain,0.3,15,3,61.9,52,False,146.6,0,0,0,0,804,,2018-02-24T14:01:18Z,76,0,0,0,7958.jpg,2.6,0,0,Defoe,1.2,False,18,a,2,91,366.0,42,46764,71,209260,72,0.0,5.5,Defoe,1
0,0,0,0,0,0,225321,0,0,0,0,0.0,0,0,1,0.0,0.0,0,Aaron,0.0,0,0,0.0,549,False,0.0,0,0,0,0,0,Season-long loan to Chesterfield,2018-01-08T09:49:35Z,40,0,0,0,225321.jpg,0.0,0,0,Ramsdale,0.2,False,12,u,2,91,0.0,0,16459,2,8257,35,0.0,0.0,Ramsdale,0
0,0,10,None,None,0,222434,0,0,0,0,0.0,0,0,2,0.0,0.5,0,Jack,0.0,2,0,0.6,570,False,6.2,0,0,0,0,71,,None,40,0,0,0,222434.jpg,1.0,0,0,Simpson,0.2,False,42,a,2,91,0.0,1,12584,144,6140,90,0.0,0.3,Simpson,0
0,0,0,None,None,0,122342,0,0,0,0,0.0,0,0,3,0.0,0.5,0,Emerson,0.0,0,0,0.0,584,False,0.0,0,0,0,0,0,,None,45,0,0,0,122342.jpg,0.0,0,0,Hyndman,0.0,False,22,a,2,91,0.0,0,130,2,96,1,0.0,0.0,Hyndman,0
0,0,0,0,0,0,169743,0,0,0,0,0.0,0,0,3,0.0,0.0,0,Connor,0.0,0,0,0.0,585,False,0.0,0,0,0,0,0,Season-long loan to Barnsley,2018-01-30T09:41:42Z,45,0,0,0,169743.jpg,0.0,0,0,Mahoney,0.0,False,23,u,2,91,0.0,0,149,0,131,1,0.0,0.0,Mahoney,0
0,0,0,None,None,0,200370,0,0,0,0,0.0,0,0,3,0.0,0.5,0,Matt,0.0,0,0,0.0,588,False,0.0,0,0,0,0,0,,None,45,0,0,0,200370.jpg,0.0,0,0,Butcher,0.0,False,36,a,2,91,0.0,0,150,4,122,5,0.0,0.0,Butcher,0
0,0,0,None,None,0,431774,0,0,0,0,0.0,0,0,3,0.0,0.5,0,Kyle,0.0,0,0,0.0,602,False,0.0,0,0,0,0,0,,None,45,0,0,0,431774.jpg,0.0,0,0,Taylor,0.0,False,58,a,2,91,0.0,0,197,2,116,4,0.0,0.0,Taylor,0
0,0,0,None,None,0,48860,0,0,0,0,0.0,0,0,1,-1.0,0.0,0,Niki,0.0,0,0,0.0,53,False,0.0,0,0,0,0,0,,None,40,0,0,0,48860.jpg,0.0,0,0,Mäenpää,0.9,False,12,a,3,36,0.0,0,27751,28,43249,59,0.0,0.0,Mäenpää,0
0,8,515,None,None,8,131897,0,0,0,0,0.0,2,0,1,2.5,3.5,2,Mathew,3.5,37,0,59.5,54,False,594.6,0,0,0,0,2520,,None,45,0,0,1,131897.jpg,3.7,0,84,Ryan,2.7,False,1,a,3,36,0.0,104,196584,1187,90770,933,0.8,23.1,Ryan,0
0,5,456,None,None,8,83299,0,0,0,0,95.4,0,0,2,0.3,1.3,0,Lewis,1.3,37,0,112.9,55,False,723.2,0,0,0,0,2520,,None,45,4,0,0,83299.jpg,2.3,0,0,Dunk,3.4,False,5,a,3,36,309.0,65,299906,387,199025,1859,0.3,14.4,Dunk,6
1,6,463,100,100,8,61933,0,0,1,-1,76.9,1,0,2,1.0,2.0,2,Shane,2.0,36,0,112.3,56,False,733.8,0,0,0,0,2412,,2017-12-16T18:01:15Z,46,0,0,0,61933.jpg,2.8,0,0,Duffy,3.8,False,22,a,3,36,312.0,75,398113,925,223612,1482,0.4,16.3,Duffy,6
0,0,5,None,None,0,19071,0,0,-1,1,0.3,0,0,2,-1.0,0.0,0,Uwe,0.0,1,0,0.9,57,False,7.0,0,0,0,0,17,,None,39,0,0,0,19071.jpg,1.0,0,0,Hünemeier,5.9,False,4,a,3,36,2.0,1,325529,508,385025,656,0.0,0.3,Hünemeier,0
