,round,team_rank,opponent_team_rank,opp_pot,concede_pot,prev_points,form_points,ict_form,total_points,Predicted,Prediction_Error
853,1,17,3,2.0,2.0,0.0,0.0,0.0,1,0.4,0.6
2014,2,16,5,2.1111111111111107,1.0,2.0,2.0,4.199999999999998,0,2.1,2.1
20550,3,6,16,1.2,1.7333333333333334,5.0,5.666666666666668,4.333333333333334,0,7.5,7.5
1097,1,8,1,4.2,2.0,2.0,3.0,2.666666666666666,1,2.4,1.4
2905,3,8,1,3.571428571428572,1.7857142857142858,2.0,0.6666666666666666,3.399999999999998,-1,-0.7,0.30000000000000004
5932,2,10,8,1.7,2.1,2.0,1.0,3.266666666666666,1,1.3,0.30000000000000004
2890,2,1,4,2.333333333333333,1.0,2.0,6.333333333333332,3.600000000000002,2,8.2,6.199999999999999
12811,3,20,17,0.9473684210526316,0.9473684210526316,6.0,3.0,3.1333333333333324,1,3.7,2.7
2841,1,18,10,0.75,1.5,6.0,3.0,4.2,2,3.0,1.0
6779,3,20,15,1.0,1.3846153846153846,1.0,3.333333333333333,4.2333333333333325,7,5.7,1.2999999999999998
2821,1,11,18,0.4,1.2,1.0,5.0,3.933333333333335,12,9.0,3.0
7217,2,19,1,3.5,2.333333333333333,1.0,0.6666666666666666,0.9,0,-0.2,0.2
10215,1,15,3,2.0,0.8333333333333334,7.0,6.666666666666668,3.300000000000001,7,6.5,0.5
7243,2,16,5,2.142857142857143,2.0,-1.0,0.0,1.6000000000000003,0,0.7,0.7
1482,2,2,15,0.9090909090909092,0.6363636363636364,6.0,6.333333333333332,2.6333333333333333,6,8.6,2.5999999999999996
13435,2,17,3,1.9166666666666667,2.1666666666666665,1.0,1.0,3.0,1,1.0,0.0
3959,2,2,1,2.5,1.625,2.0,1.3333333333333333,2.1666666666666674,1,1.0,0.0
12020,2,9,6,1.4545454545454546,1.7272727272727273,2.0,3.333333333333333,3.399999999999999,2,4.4,2.4000000000000004
16749,2,9,13,1.3333333333333333,1.8333333333333333,1.0,2.6666666666666665,1.133333333333333,1,5.0,4.0
3535,1,1,12,1.3333333333333333,0.5,1.0,2.333333333333333,3.8333333333333335,5,4.5,0.5
461,3,11,15,1.0714285714285714,1.5,-1.0,0.6666666666666666,3.0666666666666664,1,3.2,2.2
5521,1,16,11,2.75,1.75,1.0,0.0,2.3666666666666667,-1,0.4,1.4
19555,2,15,8,0.6363636363636364,1.25,7.0,6.0,3.266666666666666,2,6.6,4.6
2069,3,16,5,1.8,1.1176470588235294,-1.0,2.0,3.5666666666666687,0,3.4,3.4
2889,2,1,4,2.636363636363636,1.4166666666666667,15.0,7.666666666666668,4.333333333333335,2,4.5,2.5
5208,1,17,5,2.6,0.6,8.0,5.0,4.266666666666667,1,3.7,2.7
3877,2,2,14,0.6666666666666666,1.4444444444444444,0.0,0.0,0.0,7,2.5,4.5
9457,2,6,5,1.25,0.75,-1.0,2.333333333333333,1.6333333333333335,1,4.6,3.5999999999999996
892,1,9,2,1.1428571428571428,1.0,1.0,3.0,2.100000000000001,2,4.4,2.4000000000000004
11765,3,10,2,2.3076923076923075,2.3846153846153846,6.0,2.6666666666666665,2.2333333333333343,0,1.1,1.1
16037,2,8,6,1.4444444444444444,2.1111111111111107,1.0,1.0,3.766666666666667,0,1.6,1.6
1103,2,10,7,1.4444444444444444,1.0,6.0,4.333333333333333,6.7,1,4.0,3.0
12610,2,14,11,1.3,0.8,6.0,3.0,5.466666666666668,1,2.8,1.7999999999999998
4847,2,17,14,0.6666666666666666,1.6666666666666667,1.0,3.0,2.666666666666668,6,5.6,0.40000000000000036
5671,1,14,4,4.5,2.0,0.0,1.3333333333333333,1.8,3,1.1,1.9
15263,2,8,20,1.5,2.0,0.0,3.333333333333333,3.466666666666665,8,6.8,1.2000000000000002
3881,2,17,1,1.7777777777777777,2.1111111111111107,1.0,1.0,2.3666666666666663,1,0.9,0.09999999999999998
3160,1,7,9,1.5,2.75,0.0,2.333333333333333,2.6666666666666665,2,4.2,2.2
5511,1,3,2,2.6,0.6,2.0,3.6666666666666665,1.9,2,4.5,2.5
13261,1,5,9,2.0,1.0,0.0,0.0,0.0,1,1.5,0.5
6384,1,11,16,0.0,0.3333333333333333,0.0,2.6666666666666665,1.966666666666666,7,6.5,0.5
4580,1,11,12,0.0,0.0,0.0,0.0,0.0,1,2.7,1.7000000000000002
6429,1,18,12,1.2857142857142858,1.8333333333333333,1.0,0.6666666666666666,2.1,2,2.0,0.0
18395,2,15,12,1.1,1.3,1.0,0.0,0.0,6,1.5,4.5
5573,2,19,1,1.9090909090909087,1.8181818181818181,2.0,1.0,3.733333333333336,0,0.3,0.3
8309,2,5,7,1.6363636363636365,1.6363636363636365,11.0,5.666666666666668,4.566666666666666,0,4.0,4.0
5586,2,5,2,1.0769230769230769,0.6666666666666666,8.0,6.666666666666668,5.333333333333336,6,6.3,0.2999999999999998
15135,1,18,8,1.5,0.5,1.0,1.0,1.7666666666666666,0,2.1,2.1
14137,1,2,16,1.6666666666666667,0.3333333333333333,6.0,4.666666666666667,3.766666666666667,2,6.1,4.1
19937,1,20,9,0.75,0.75,1.0,1.3333333333333333,2.6333333333333337,2,2.8,0.7999999999999998
6949,1,19,2,3.0,3.0,0.0,0.0,0.0,1,-0.3,1.3
3249,1,20,5,2.25,1.75,0.0,2.333333333333333,2.466666666666667,7,3.4,3.6
6877,3,3,5,1.7692307692307692,0.6923076923076923,6.0,2.6666666666666665,2.966666666666665,1,1.9,0.8999999999999999
10237,3,19,13,1.9411764705882355,1.4705882352941178,1.0,0.0,1.800000000000001,-1,0.9,1.9
2898,3,1,5,1.3529411764705883,1.3529411764705883,2.0,1.3333333333333333,2.8333333333333344,0,1.8,1.8
7330,2,12,1,0.7777777777777778,1.5555555555555556,0.0,0.0,0.0,1,0.8,0.19999999999999996
16780,2,13,20,1.3333333333333333,2.1111111111111107,7.0,5.666666666666668,4.033333333333331,9,7.1,1.9000000000000004
1218,2,12,1,0.7777777777777778,1.5555555555555556,1.0,2.6666666666666665,3.3666666666666685,1,3.6,2.6
3845,2,17,10,1.2222222222222223,2.0,2.0,1.6666666666666667,3.633333333333335,2,2.5,0.5
10211,1,16,18,0.75,1.0,0.0,2.0,2.533333333333334,2,5.2,3.2
3887,2,18,14,1.9166666666666667,1.9166666666666667,2.0,2.333333333333333,1.7333333333333325,5,3.8,1.2000000000000002
16213,1,12,3,2.0,3.0,0.0,0.0,0.0,1,0.4,0.6
15985,1,9,5,2.0,0.0,6.0,0.0,0.0,0,-1.3,1.3
493,1,19,3,0.75,1.75,6.0,4.666666666666667,4.1000000000000005,2,4.4,2.4000000000000004
1293,2,1,7,1.4444444444444444,0.8888888888888888,8.0,5.666666666666668,6.833333333333331,8,5.2,2.8
11003,2,10,8,0.75,2.1538461538461537,2.0,1.0,1.533333333333335,1,1.9,0.8999999999999999
17563,1,11,8,1.0,2.5,1.0,0.0,0.0,1,1.0,0.0
221,1,3,8,1.0,2.333333333333333,1.0,0.0,0.0,1,1.2,0.19999999999999996
5227,1,12,11,0.0,0.0,0.0,0.0,0.0,6,2.5,3.5
14271,3,2,15,1.4666666666666666,0.8571428571428571,2.0,3.333333333333333,3.933333333333332,7,5.6,1.4000000000000004
8314,3,3,20,1.3571428571428572,1.2857142857142858,3.0,3.333333333333333,2.766666666666667,6,5.9,0.09999999999999964
1867,3,17,4,1.7142857142857142,1.4285714285714286,0.0,0.0,0.0,1,0.6,0.4
5883,3,11,4,1.9230769230769231,2.0,6.0,2.6666666666666665,1.9666666666666677,1,1.5,0.5
6736,2,10,16,0.375,1.5,6.0,4.666666666666667,4.166666666666666,6,6.2,0.20000000000000018
2873,1,7,15,1.5,2.0,1.0,2.6666666666666665,3.733333333333334,6,5.0,1.0
2140,3,13,20,1.2666666666666666,1.3333333333333333,1.0,2.6666666666666665,4.166666666666667,6,5.4,0.5999999999999996
3235,1,6,13,0.6,0.2,2.0,2.6666666666666665,2.333333333333333,6,5.1,0.9000000000000004
4502,3,18,3,2.4285714285714284,1.4,0.0,1.0,4.166666666666667,1,1.0,0.0
2184,3,14,16,1.1764705882352942,1.2777777777777777,1.0,2.6666666666666665,2.0333333333333328,6,5.3,0.7000000000000002
7105,2,3,6,1.5454545454545454,1.5,4.0,4.333333333333333,4.666666666666665,1,4.9,3.9000000000000004
15225,2,13,4,1.8,1.8,1.0,0.6666666666666666,3.766666666666668,-1,0.7,1.7
14157,3,2,10,1.0769230769230769,1.0769230769230769,0.0,3.333333333333333,4.0,1,5.9,4.9
5892,1,4,6,0.25,2.5,7.0,3.6666666666666665,3.8666666666666663,2,3.4,1.4
2466,1,2,19,0.0,0.0,0.0,0.0,0.0,6,3.6,2.4
12715,2,14,16,0.8571428571428571,2.2857142857142856,1.0,4.0,7.2333333333333325,1,6.5,5.5
3852,2,2,5,2.25,1.5384615384615383,7.0,4.666666666666667,3.6666666666666674,1,3.9,2.9
5236,1,19,7,0.6666666666666666,0.8333333333333334,1.0,2.6666666666666665,4.533333333333334,1,4.2,3.2
1128,3,7,1,2.230769230769231,1.3076923076923077,2.0,1.3333333333333333,4.9,1,0.7,0.30000000000000004
18341,1,4,20,0.5,2.5,7.0,5.333333333333333,4.1000000000000005,7,7.1,0.09999999999999964
5537,2,1,3,2.083333333333333,0.75,2.0,4.0,3.999999999999999,3,4.9,1.9000000000000004
5936,2,10,7,1.5,1.5833333333333333,1.0,0.3333333333333333,2.333333333333333,1,1.0,0.0
20794,3,12,15,0.8333333333333334,1.3888888888888888,0.0,3.0,2.500000000000002,7,6.1,0.9000000000000004
5609,1,13,4,1.6666666666666667,1.3333333333333333,1.0,0.0,0.0,0,0.4,0.4
1810,2,20,14,0.75,1.75,6.0,2.333333333333333,2.266666666666667,0,2.6,2.6
6477,2,11,14,0.9166666666666666,2.083333333333333,2.0,1.3333333333333333,3.833333333333332,2,2.7,0.7000000000000002
1469,1,3,12,0.0,1.0,-3.0,0.0,0.0,7,3.9,3.1
14135,1,5,20,0.5,0.0,2.0,4.666666666666667,4.966666666666668,6,8.5,2.5
3247,1,20,1,3.6666666666666665,2.333333333333333,0.0,0.0,0.0,0,-0.6,0.6
4209,1,4,13,0.6666666666666666,1.0,0.0,0.0,0.0,2,2.5,0.5
6294,3,18,17,0.6923076923076923,2.0,1.0,1.3333333333333333,1.5333333333333332,1,3.6,2.6
2031,3,16,5,1.8,1.1176470588235294,1.0,2.333333333333333,2.6999999999999997,0,3.2,3.2
2831,1,4,14,2.0,2.0,5.0,0.0,0.0,2,-0.1,2.1
1099,1,7,13,0.8571428571428571,2.0,8.0,5.0,2.466666666666665,6,5.5,0.5
6890,1,14,8,2.142857142857143,1.1428571428571428,0.0,1.0,1.4666666666666668,1,2.3,1.2999999999999998
83,1,4,6,1.5,1.1666666666666667,1.0,1.6666666666666667,3.0333333333333328,2,2.8,0.7999999999999998
20757,3,1,15,1.8125,1.3125,2.0,3.6666666666666665,4.833333333333332,8,5.7,2.3
23043,3,19,17,1.8125,1.3125,0.0,0.0,0.0,0,2.0,2.0
2883,2,1,17,1.3333333333333333,0.8888888888888888,7.0,7.333333333333332,2.7666666666666675,8,9.5,1.5
8288,3,3,17,1.3157894736842106,1.4210526315789471,1.0,8.333333333333334,5.8,13,12.8,0.1999999999999993
3839,1,16,3,2.5,2.1666666666666665,1.0,0.6666666666666666,2.800000000000001,1,0.4,0.6
71,2,7,19,1.0,1.4444444444444444,1.0,2.333333333333333,4.233333333333333,6,5.1,0.9000000000000004
13275,2,8,3,2.375,2.25,1.0,4.666666666666667,5.533333333333336,11,5.6,5.4
1207,1,13,11,1.5,1.5,6.0,1.6666666666666667,3.8,0,1.1,1.1
4632,2,7,16,1.0,1.6923076923076923,1.0,3.0,3.1666666666666647,6,5.8,0.20000000000000018
13293,3,7,14,1.1764705882352942,1.5882352941176472,7.0,4.666666666666667,5.06666666666667,5,5.1,0.09999999999999964
