,round,team_rank,opponent_team_rank,opp_pot,save_form,concede_pot,prev_points,form_points,total_points,Predicted,Prediction_Error
6928,1,18,5,2.0,4.333333333333333,2.0,3.0,1.6666666666666667,1,0.7,0.30000000000000004
20067,3,4,5,1.8,0.6666666666666666,1.2666666666666666,6.0,4.666666666666667,6,4.5,1.5
1994,3,14,16,1.1764705882352942,4.666666666666667,1.2777777777777777,2.0,3.6666666666666665,7,4.9,2.0999999999999996
6789,1,7,13,0.8571428571428571,5.0,2.0,9.0,6.666666666666668,8,5.5,2.5
1041,3,13,3,2.5625,3.6666666666666665,1.8125,8.0,5.666666666666668,3,3.9,0.8999999999999999
20066,3,4,9,1.4666666666666666,0.3333333333333333,1.4705882352941178,2.0,3.0,6,4.3,1.7000000000000002
15935,3,8,14,1.3076923076923077,2.333333333333333,1.7142857142857142,1.0,3.0,3,4.7,1.7000000000000002
17512,3,12,16,1.5,3.333333333333333,1.3846153846153846,1.0,1.6666666666666667,2,3.2,1.2000000000000002
3708,3,16,14,1.2142857142857142,2.333333333333333,1.8571428571428568,6.0,7.333333333333332,7,8.5,1.5
4823,2,18,2,1.1666666666666667,6.0,2.5,3.0,2.6666666666666665,3,1.0,2.0
6392,2,17,15,1.0,1.3333333333333333,1.5555555555555556,6.0,5.0,1,6.3,5.3
2686,1,5,6,1.75,1.0,2.333333333333333,0.0,2.6666666666666665,2,3.6,1.6
15076,2,10,17,1.8888888888888888,3.6666666666666665,1.7777777777777777,3.0,4.333333333333333,8,5.5,2.5
6929,1,18,8,1.1666666666666667,5.333333333333333,2.142857142857143,1.0,2.0,2,1.8,0.19999999999999996
1438,3,4,20,0.5,2.333333333333333,0.7142857142857143,1.0,2.6666666666666665,6,5.3,0.7000000000000002
13169,2,17,3,1.9166666666666667,2.333333333333333,2.1666666666666665,2.0,2.0,2,1.7,0.30000000000000004
10899,3,9,16,1.5,2.6666666666666665,2.2857142857142856,6.0,3.333333333333333,2,3.6,1.6
8146,1,1,17,1.0,0.0,1.0,2.0,0.0,2,1.9,0.10000000000000009
15928,2,8,9,1.6,4.333333333333333,2.1,5.0,3.0,2,2.0,0.0
1032,2,12,14,1.3636363636363635,1.0,1.2727272727272727,1.0,0.6666666666666666,1,2.5,1.5
5485,1,3,2,2.6,3.333333333333333,0.6,4.0,4.0,2,3.0,1.0
1987,3,12,4,2.5714285714285716,0.6666666666666666,1.4285714285714286,2.0,1.6666666666666667,1,2.1,1.1
1783,1,20,15,1.1428571428571428,3.0,1.7142857142857142,1.0,1.3333333333333333,2,2.8,0.7999999999999998
6137,3,20,14,0.7142857142857143,4.0,1.4285714285714286,2.0,1.6666666666666667,2,2.7,0.7000000000000002
10140,1,15,10,1.0,2.6666666666666665,1.8,10.0,6.0,6,5.0,1.0
5462,2,18,4,2.0,4.666666666666667,1.6923076923076923,8.0,7.0,2,5.4,3.4000000000000004
21201,3,9,13,1.6,5.0,2.357142857142857,2.0,4.0,3,4.4,1.4000000000000004
3700,2,17,19,0.9,3.0,2.1,2.0,1.6666666666666667,1,3.3,2.3
1984,2,12,1,1.1538461538461535,3.6666666666666665,1.0714285714285714,2.0,4.333333333333333,2,4.1,2.0999999999999996
1803,2,16,6,1.2,3.0,1.8,2.0,3.6666666666666665,3,4.1,1.0999999999999996
1996,3,15,10,1.9473684210526316,3.333333333333333,1.3157894736842106,1.0,3.333333333333333,2,4.4,2.4000000000000004
12536,2,18,2,2.0,5.333333333333333,0.8,0.0,2.6666666666666665,7,2.4,4.6
1018,1,11,16,1.5,3.333333333333333,1.5,2.0,3.6666666666666665,3,5.1,2.0999999999999996
1963,1,15,8,2.5,4.333333333333333,1.3333333333333333,3.0,5.0,2,5.0,3.0
1979,2,12,4,1.9,1.6666666666666667,1.1111111111111112,2.0,4.0,1,4.6,3.5999999999999996
8176,3,4,5,1.8,1.0,1.2666666666666666,6.0,2.6666666666666665,1,2.1,1.1
7020,1,1,8,1.1666666666666667,3.6666666666666665,0.2,2.0,2.6666666666666665,4,2.9,1.1
20046,1,3,15,1.0,1.3333333333333333,0.6666666666666666,6.0,3.333333333333333,2,4.1,2.0999999999999996
5494,2,5,14,0.7777777777777778,4.666666666666667,0.8,6.0,3.333333333333333,2,3.0,1.0
15088,3,10,8,0.6,1.6666666666666667,0.6875,7.0,5.0,6,5.2,0.7999999999999998
6128,2,19,14,1.3,2.0,1.3,1.0,4.0,1,6.3,5.3
2696,2,1,8,1.125,3.333333333333333,2.0,3.0,4.0,6,3.9,2.1
3714,3,16,14,0.6666666666666666,0.3333333333333333,1.7647058823529411,2.0,1.3333333333333333,1,3.3,2.3
15944,3,8,14,1.3888888888888888,1.3333333333333333,1.875,2.0,2.0,2,3.4,1.4
5501,2,5,18,1.1538461538461535,0.0,1.0833333333333333,0.0,0.0,3,2.7,0.2999999999999998
15913,1,12,14,2.0,3.6666666666666665,0.5,6.0,3.6666666666666665,3,3.8,0.7999999999999998
53,2,4,9,1.0,2.0,1.3333333333333333,2.0,3.0,6,3.8,2.2
1428,2,3,18,1.1428571428571428,0.6666666666666666,0.75,2.0,3.333333333333333,2,5.9,3.9000000000000004
14063,1,2,16,1.6666666666666667,1.3333333333333333,0.3333333333333333,6.0,4.666666666666667,2,5.8,3.8
2418,1,12,13,0.75,2.333333333333333,1.0,1.0,3.0,1,4.8,3.8
6154,3,11,8,1.1578947368421053,3.6666666666666665,1.8333333333333333,3.0,4.333333333333333,9,4.5,4.5
6786,1,7,15,0.6,3.6666666666666665,2.0,9.0,6.333333333333332,4,5.8,1.7999999999999998
13182,3,17,20,1.1052631578947372,3.6666666666666665,1.8947368421052635,6.0,5.666666666666668,8,6.9,1.0999999999999996
22,2,6,3,1.8181818181818181,2.0,1.0909090909090908,1.0,1.3333333333333333,2,1.4,0.6000000000000001
6168,1,14,11,0.8333333333333334,2.6666666666666665,0.8333333333333334,1.0,3.0,2,4.5,2.5
3490,1,4,18,0.5,1.6666666666666667,0.5,2.0,3.333333333333333,2,5.7,3.7
4473,2,11,14,1.125,5.0,1.2857142857142858,5.0,3.333333333333333,3,3.2,0.20000000000000018
6926,1,16,12,0.8,2.333333333333333,1.5,9.0,5.333333333333333,1,5.0,4.0
5122,2,20,16,0.4,4.666666666666667,1.5,9.0,4.666666666666667,3,4.2,1.2000000000000002
9002,3,6,7,1.1875,2.0,0.75,6.0,3.6666666666666665,3,3.5,0.5
20500,2,19,15,2.0,2.333333333333333,2.0,3.0,2.333333333333333,2,3.4,1.4
4569,3,7,5,2.055555555555556,3.6666666666666665,1.7894736842105263,6.0,4.0,3,2.7,0.2999999999999998
13150,1,15,14,1.6666666666666667,4.666666666666667,2.0,2.0,5.0,3,5.9,2.9000000000000004
16711,2,9,13,1.3333333333333333,2.333333333333333,1.8333333333333333,0.0,2.0,4,3.6,0.3999999999999999
1974,2,13,12,1.125,2.333333333333333,1.3333333333333333,0.0,1.0,1,2.5,1.5
3695,2,15,19,1.125,3.0,2.0,7.0,3.0,2,3.4,1.4
10896,3,10,13,1.5,1.0,1.5,6.0,2.6666666666666665,1,3.2,2.2
1786,2,14,17,1.1666666666666667,3.333333333333333,1.3636363636363635,7.0,6.0,2,6.7,4.7
818,2,12,16,0.7272727272727273,4.333333333333333,1.2727272727272727,6.0,3.6666666666666665,3,3.8,0.7999999999999998
1086,1,13,3,1.0,0.0,1.0,2.0,0.0,2,0.4,1.6
1426,2,3,19,0.42857142857142855,1.6666666666666667,0.8571428571428571,3.0,5.0,6,7.5,1.5
40,1,4,12,1.6666666666666667,4.0,1.3333333333333333,1.0,2.0,1,2.5,1.5
8997,2,6,16,1.3333333333333333,1.3333333333333333,1.0,6.0,4.333333333333333,5,5.4,0.40000000000000036
4821,2,15,2,1.9090909090909087,6.666666666666668,2.4545454545454546,4.0,3.333333333333333,2,1.1,0.8999999999999999
15914,1,10,18,1.0,3.0,2.0,3.0,3.6666666666666665,2,5.0,3.0
16659,1,17,6,1.4,3.0,2.8,6.0,5.333333333333333,2,4.5,2.5
6806,3,7,16,1.0,4.333333333333333,1.2857142857142858,3.0,3.6666666666666665,3,4.6,1.5999999999999996
5118,2,20,13,1.25,5.0,1.0,5.0,5.0,1,5.3,4.3
10900,3,9,8,1.2941176470588236,3.333333333333333,1.5625,2.0,5.0,7,5.7,1.2999999999999998
6920,1,20,14,1.5,3.0,3.333333333333333,1.0,1.0,2,1.7,0.30000000000000004
4200,2,15,3,1.625,0.0,1.75,1.0,0.0,3,0.5,2.5
14062,1,3,19,1.6666666666666667,2.0,1.3333333333333333,6.0,4.666666666666667,6,5.7,0.2999999999999998
2782,2,8,10,1.3,2.333333333333333,1.6,2.0,1.0,-1,1.5,2.5
1995,3,14,8,0.6875,3.333333333333333,1.1666666666666667,7.0,3.333333333333333,1,2.6,1.6
4831,2,16,5,2.142857142857143,2.6666666666666665,2.0,2.0,1.6666666666666667,2,1.5,0.5
2429,2,11,13,1.181818181818182,3.0,2.0,2.0,2.0,3,2.8,0.20000000000000018
4201,2,16,8,1.5,3.6666666666666665,1.375,3.0,2.0,2,1.9,0.10000000000000009
2780,2,8,14,0.3333333333333333,2.6666666666666665,1.3333333333333333,3.0,2.0,2,3.0,1.0
1046,3,11,13,0.9411764705882352,3.0,1.3888888888888888,7.0,4.666666666666667,1,4.8,3.8
20493,1,16,11,2.75,5.333333333333333,1.75,3.0,1.6666666666666667,0,1.0,1.0
1413,1,14,6,1.0,0.0,3.0,0.0,0.0,1,0.9,0.09999999999999998
10160,3,19,17,1.8125,2.333333333333333,1.3125,10.0,4.0,0,3.9,3.9
4561,3,7,3,2.6,1.3333333333333333,1.5333333333333334,6.0,4.333333333333333,1,3.6,2.6
5856,1,8,18,0.7142857142857143,2.6666666666666665,1.8333333333333333,1.0,3.333333333333333,7,5.4,1.5999999999999996
5850,1,6,15,0.3333333333333333,2.333333333333333,0.3333333333333333,0.0,3.0,2,5.4,3.4000000000000004
18188,3,19,13,1.9411764705882355,4.0,1.4705882352941178,1.0,3.6666666666666665,2,5.0,3.0
4463,1,9,20,0.0,3.333333333333333,0.0,1.0,6.333333333333332,7,9.6,2.5999999999999996
1040,3,11,10,1.3076923076923077,3.333333333333333,1.8,6.0,5.333333333333333,8,5.2,2.8
11698,3,11,18,1.4117647058823528,0.0,2.25,0.0,0.0,2,2.6,0.6000000000000001
2777,2,9,7,1.75,4.0,1.125,2.0,5.0,10,5.4,4.6
16713,3,9,12,1.3846153846153846,2.333333333333333,1.7692307692307692,1.0,2.333333333333333,2,3.6,1.6
12585,3,20,13,0.8823529411764706,4.333333333333333,0.8823529411764706,3.0,2.333333333333333,1,3.1,2.1
8976,1,3,5,1.0,1.6666666666666667,2.0,6.0,4.666666666666667,6,4.0,2.0
8974,1,1,20,3.0,0.0,3.0,0.0,0.0,2,2.0,0.0
23011,3,5,15,0.8125,0.0,1.1333333333333333,0.0,0.0,6,2.4,3.6
4585,2,8,3,2.375,1.3333333333333333,2.25,2.0,2.0,2,1.8,0.19999999999999996
4199,2,12,17,1.1428571428571428,0.0,1.5714285714285714,0.0,0.0,1,2.6,1.6
431,2,16,12,1.0909090909090908,2.0,1.5454545454545454,2.0,1.6666666666666667,2,2.9,0.8999999999999999
10145,2,16,10,1.875,1.3333333333333333,1.25,6.0,2.6666666666666665,2,2.8,0.7999999999999998
2694,1,1,5,1.4285714285714286,2.0,1.8571428571428568,6.0,5.0,3,4.2,1.2000000000000002
4188,1,10,13,1.3333333333333333,2.6666666666666665,0.6666666666666666,3.0,4.333333333333333,2,5.6,3.5999999999999996
4207,2,14,7,0.6923076923076923,3.333333333333333,1.1538461538461535,3.0,1.6666666666666667,0,1.6,1.6
20039,1,1,4,1.5,0.0,1.0,0.0,0.0,2,0.8,1.2
14091,3,2,6,1.8823529411764703,2.0,1.0,6.0,6.666666666666668,8,6.6,1.4000000000000004
3491,1,2,8,1.5,2.0,0.5,2.0,2.0,2,2.6,0.6000000000000001
6130,2,19,5,1.181818181818182,3.0,1.3636363636363635,8.0,4.0,3,2.8,0.20000000000000018
5500,3,4,17,1.1428571428571428,1.6666666666666667,1.0714285714285714,6.0,4.666666666666667,7,5.9,1.0999999999999996
15927,2,9,4,2.1111111111111107,5.333333333333333,2.1111111111111107,2.0,3.333333333333333,5,2.3,2.7
20501,2,19,5,2.125,4.0,0.75,2.0,2.6666666666666665,3,2.7,0.2999999999999998
12565,1,19,18,1.5,4.666666666666667,0.6666666666666666,4.0,4.0,7,5.1,1.9000000000000004
5117,2,19,3,1.4285714285714286,6.666666666666668,0.8571428571428571,9.0,5.666666666666668,5,3.1,1.9
15060,1,14,4,0.0,0.0,2.0,4.0,0.0,1,-0.1,1.1
14070,1,5,1,0.7142857142857143,2.0,0.5714285714285714,1.0,1.6666666666666667,2,1.8,0.19999999999999996
1436,2,4,10,0.9230769230769232,2.333333333333333,0.7692307692307693,6.0,2.6666666666666665,1,2.5,1.5
436,3,10,17,1.0714285714285714,2.6666666666666665,1.5714285714285714,2.0,3.0,0,4.8,4.8
12586,3,20,19,0.6470588235294118,2.6666666666666665,1.4375,1.0,2.0,2,4.4,2.4000000000000004
15069,1,8,1,3.4,4.0,1.6666666666666667,6.0,5.333333333333333,1,3.4,2.4
4190,1,9,11,1.0,1.0,1.0,2.0,1.6666666666666667,1,3.0,2.0
7024,2,3,17,1.125,2.0,0.5714285714285714,1.0,2.6666666666666665,1,4.9,3.9000000000000004
1044,3,13,19,0.6470588235294118,5.0,1.3529411764705883,4.0,4.0,6,5.0,1.0
14081,2,2,15,0.75,1.6666666666666667,1.1666666666666667,2.0,4.666666666666667,6,6.7,0.7000000000000002
17,2,7,19,1.0,1.3333333333333333,1.4444444444444444,2.0,3.0,6,5.4,0.5999999999999996
1983,2,12,10,1.4166666666666667,5.333333333333333,1.2727272727272727,9.0,4.666666666666667,2,3.0,1.0
423,2,15,6,1.7142857142857142,2.0,1.1428571428571428,6.0,5.0,1,4.9,3.9000000000000004
5466,3,18,7,2.2,3.0,1.933333333333333,2.0,1.6666666666666667,1,1.7,0.7
1968,1,14,6,1.4,6.666666666666668,1.0,5.0,3.6666666666666665,4,2.1,1.9
12535,2,18,11,1.7272727272727273,2.0,1.8,1.0,1.0,0,2.1,2.1
2416,1,8,9,1.0,1.6666666666666667,0.6666666666666666,2.0,3.333333333333333,7,4.6,2.4000000000000004
21200,3,9,1,1.2666666666666666,4.0,1.4666666666666666,7.0,3.333333333333333,2,1.2,0.8
1794,1,20,7,1.4,0.0,2.4,3.0,0.0,2,0.4,1.6
8990,2,6,8,0.5555555555555556,2.333333333333333,1.1111111111111112,2.0,5.333333333333333,6,6.5,0.5
3756,1,17,19,1.5,0.0,2.5,0.0,0.0,2,2.6,0.6000000000000001
10,1,5,17,0.6,1.0,0.8,1.0,1.3333333333333333,2,3.7,1.7000000000000002
15075,2,12,18,1.3333333333333333,3.333333333333333,0.7777777777777778,2.0,2.0,3,3.7,0.7000000000000002
6390,2,19,7,1.0,3.6666666666666665,1.375,5.0,5.0,8,4.9,3.0999999999999996
5119,2,19,17,0.5,3.6666666666666665,1.25,1.0,4.0,6,6.2,0.20000000000000018
5463,3,19,11,0.5,3.333333333333333,0.7692307692307693,2.0,4.0,2,5.5,3.5
4456,3,15,20,1.0769230769230769,1.0,1.5833333333333333,2.0,1.6666666666666667,1,4.2,3.2
2687,1,8,3,2.6666666666666665,1.6666666666666667,1.3333333333333333,2.0,1.0,1,0.6,0.4
2080,1,14,19,0.3333333333333333,3.0,1.3333333333333333,1.0,2.0,3,4.2,1.2000000000000002
6116,1,12,7,3.0,2.6666666666666665,1.6666666666666667,5.0,3.0,2,2.2,0.20000000000000018
810,2,10,20,0.0,4.0,1.0,3.0,4.666666666666667,9,6.6,2.4000000000000004
10892,2,11,15,0.7272727272727273,2.333333333333333,2.272727272727273,2.0,3.6666666666666665,7,5.2,1.7999999999999998
1802,2,16,20,0.6,1.3333333333333333,1.4,6.0,3.333333333333333,2,5.0,3.0
3828,2,3,13,0.7,1.3333333333333333,1.4545454545454546,1.0,3.0,7,4.8,2.2
6169,1,14,8,1.5,2.333333333333333,2.833333333333333,2.0,1.3333333333333333,1,1.3,0.30000000000000004
10138,1,17,10,1.5,1.6666666666666667,2.25,2.0,2.0,2,2.8,0.7999999999999998
806,1,12,10,0.75,2.333333333333333,1.0,6.0,3.6666666666666665,2,3.7,1.7000000000000002
1085,1,6,14,2.0,0.0,0.0,0.0,0.0,2,2.4,0.3999999999999999
15089,3,10,2,2.4375,2.333333333333333,1.8666666666666667,6.0,4.333333333333333,0,3.1,3.1
799,1,17,7,1.5,1.6666666666666667,1.0,1.0,3.0,6,4.3,1.7000000000000002
12540,2,20,19,1.0833333333333333,4.666666666666667,1.5,10.0,7.0,9,7.0,2.0
7023,2,3,10,2.2857142857142856,1.6666666666666667,1.75,6.0,4.333333333333333,1,4.2,3.2
1980,2,10,13,1.2727272727272727,2.6666666666666665,1.1666666666666667,1.0,4.333333333333333,10,6.1,3.9000000000000004
5479,1,5,16,0.5,1.0,0.0,2.0,3.0,6,5.5,0.5
10893,2,12,17,1.3333333333333333,2.333333333333333,1.6666666666666667,7.0,3.6666666666666665,2,4.1,2.0999999999999996
9005,3,5,16,1.3529411764705883,1.0,0.8666666666666667,6.0,5.0,6,6.4,0.40000000000000036
419,1,19,4,2.0,3.333333333333333,1.2,2.0,2.333333333333333,3,2.2,0.7999999999999998
2413,1,3,8,0.0,3.6666666666666665,0.0,8.0,7.666666666666668,6,7.4,1.4000000000000004
4576,1,5,8,1.5,0.3333333333333333,1.75,2.0,1.0,2,1.7,0.30000000000000004
16685,3,12,2,1.5294117647058822,3.0,1.8333333333333333,7.0,7.666666666666668,10,6.7,3.3
