player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
467,Töre,2016/17,1,17,3,2,1,1,3,0,0,1,0,0
473,Gudmundsson,2016/17,1,18,6,0,1,1,0,0,0,1,0,0
485,Wijnaldum,2016/17,1,2,14,4,3,3,4,0,0,5,0,0
488,Gueye,2016/17,1,8,12,0,1,2,0,0,0,2,0,0
491,Ramírez,2016/17,1,9,11,3,1,4,3,0,0,4,0,0
520,Gooch,2016/17,1,16,5,1,2,1,1,0,0,1,0,0
12,Sánchez,2016/17,2,13,15,0,0,0,0,2,0,3,0,0
13,Walcott,2016/17,2,13,15,0,0,0,0,5,0,3,0,0
14,Özil,2016/17,2,13,15,0,0,0,0,0,0,1,0,0
15,Cazorla,2016/17,2,13,15,0,0,0,0,7,0,3,0,0
17,Wilshere,2016/17,2,20,15,0,0,0,0,0,0,1,0,0
18,Chamberlain,2016/17,2,13,15,0,0,0,0,6,0,3,0,0
20,Coquelin,2016/17,2,13,15,0,0,0,0,1,0,2,0,0
24,Xhaka,2016/17,2,13,15,0,0,0,0,0,0,3,0,0
37,Arter,2016/17,2,20,10,0,2,0,0,2,0,-1,0,0
39,Surman,2016/17,2,20,10,0,2,0,0,2,0,2,0,0
43,Gosling,2016/17,2,20,10,0,2,0,0,0,0,1,0,0
46,Ibe,2016/17,2,20,10,0,2,0,0,2,0,3,0,0
48,King,2016/17,2,20,10,0,2,0,0,2,0,2,0,0
62,Boyd,2016/17,2,8,11,1,2,0.5,2.5,2,0,3,0,0
63,Arfield,2016/17,2,8,11,1,2,0.5,2.5,3,0,3,0,0
64,Marney,2016/17,2,8,11,1,2,0.5,2.5,2,0,3,0,0
82,Hazard,2016/17,2,4,14,0,2,2,2,10,0,4,0,0
83,Fàbregas,2016/17,2,4,14,0,2,2,2,0,0,4,0,0
84,Oscar,2016/17,2,4,14,0,2,2,2,2,0,2,0,0
87,Matic,2016/17,2,4,14,0,2,2,2,1,0,2,0,0
90,Pedro,2016/17,2,4,14,0,2,2,2,0,0,2,0,0
92,Moses,2016/17,2,4,14,0,2,2,2,1,0,1,0,0
95,Kanté,2016/17,2,4,14,0,2,2,2,1,0,2,0,0
109,Bolasie,2016/17,2,5,7,2,1,1,0,0,0,1,0,0
110,Puncheon,2016/17,2,19,7,0,1,1,0,2,0,2,0,0
111,Zaha,2016/17,2,19,7,0,1,1,0,1,0,1,0,0
113,Ledley,2016/17,2,19,7,0,1,1,0,0,0,1,0,0
115,Mutch,2016/17,2,19,7,0,1,1,0,0,0,1,0,0
117,Lee Chung-yong,2016/17,2,19,7,0,1,1,0,3,0,3,0,0
118,Cabaye,2016/17,2,19,7,0,1,1,0,1,0,1,0,0
120,Townsend,2016/17,2,19,7,0,1,1,0,2,0,1,0,0
133,Mirallas,2016/17,2,5,9,2,2,1,0,5,0,8,0,0
134,Barkley,2016/17,2,5,9,2,2,1,0,10,0,5,0,0
136,McCarthy,2016/17,2,5,9,2,2,1,0,2,0,1,0,0
137,Barry,2016/17,2,5,9,2,2,1,0,2,0,10,0,0
141,Deulofeu,2016/17,2,5,9,2,2,1,0,2,0,2,0,0
155,Snodgrass,2016/17,2,10,12,2,0,0,2,10,0,3,0,0
156,Clucas,2016/17,2,3,12,2,0,2,2,1,0,3,0,0
157,Livermore,2016/17,2,9,12,2,0,0,2,2,0,3,0,0
158,Elmohamady,2016/17,2,3,12,2,0,2,2,2,0,3,0,0
160,Huddlestone,2016/17,2,3,12,2,0,2,2,2,0,3,0,0
161,Meyler,2016/17,2,3,12,2,0,2,2,2,0,3,0,0
162,Maloney,2016/17,2,3,12,2,0,2,2,0,0,11,0,0
176,Mahrez,2016/17,2,15,13,0,0,0,0,8,0,3,0,0
177,Albrighton,2016/17,2,15,13,0,0,0,0,0,0,3,0,0
178,King,2016/17,2,15,13,0,0,0,0,2,0,1,0,0
179,Drinkwater,2016/17,2,15,13,0,0,0,0,2,0,3,0,0
183,Mendy,2016/17,2,15,13,0,0,0,0,0,0,0,0,0
201,Henderson,2016/17,2,11,8,2,1,2.5,0.5,2,0,1,0,0
202,Allen,2016/17,2,17,1,1,4,4,1,1,0,1,0,0
203,Coutinho,2016/17,2,11,8,2,1,2.5,0.5,15,0,2,0,0
205,Lallana,2016/17,2,11,8,2,1,2.5,0.5,11,0,2,0,0
208,Milner,2016/17,2,11,8,2,1,2.5,0.5,0,0,2,0,0
209,Firmino,2016/17,2,11,8,2,1,2.5,0.5,2,0,2,0,0
227,Delph,2016/17,2,1,17,4,1,1,4,1,0,1,0,0
228,Sterling,2016/17,2,1,17,4,1,1,4,5,0,4,0,0
230,Silva,2016/17,2,1,17,4,1,1,4,3,0,2,0,0
232,Navas,2016/17,2,1,17,4,1,1,4,4,0,2,0,0
233,Fernandinho,2016/17,2,1,17,4,1,1,4,2,0,2,0,0
235,De Bruyne,2016/17,2,1,17,4,1,1,4,2,0,4,0,0
237,Nolito,2016/17,2,1,17,4,1,1,4,1,0,13,0,0
256,Mata,2016/17,2,2,16,2,0,0,1,7,0,3,0,0
257,Fellaini,2016/17,2,2,16,2,0,0,1,2,0,3,0,0
261,Januzaj,2016/17,2,18,6,2,0,2,0,1,0,2,0,0
262,Herrera,2016/17,2,2,16,2,0,0,1,1,0,1,0,0
267,Martial,2016/17,2,2,16,2,0,0,1,11,0,3,0,0
268,Mkhitaryan,2016/17,2,2,16,2,0,0,1,1,0,1,0,0
281,Adomah,2016/17,2,6,18,0,2,0,2,2,0,1,0,0
282,Downing,2016/17,2,6,18,0,2,0,2,1,0,2,0,0
283,Clayton,2016/17,2,6,18,0,2,0,2,2,0,1,0,0
286,Forshaw,2016/17,2,6,18,0,2,0,2,1,0,2,0,0
304,Redmond,2016/17,2,16,2,0,2,1,0,10,0,2,0,0
305,Davis,2016/17,2,16,2,0,2,1,0,2,0,2,0,0
308,Tadic,2016/17,2,16,2,0,2,1,0,2,0,2,0,0
309,Clasie,2016/17,2,16,2,0,2,1,0,0,0,2,0,0
310,Oriol Romeu,2016/17,2,16,2,0,2,1,0,2,0,1,0,0
311,Rodriguez,2016/17,2,16,2,0,2,1,0,0,0,1,0,0
312,Højbjerg,2016/17,2,16,2,0,2,1,0,1,0,2,0,0
329,Whelan,2016/17,2,17,1,1,4,4,1,3,0,2,0,0
330,Walters,2016/17,2,17,1,1,4,4,1,1,0,1,0,0
