,round,team_rank,opponent_team_rank,team_pot,opp_concede_pot,prev_points,form_points,long_form,ict_form,total_points,Predicted,Prediction_Error
4324,25,14,7,0.8461538461538461,1.8461538461538465,2.0,2.0,2.2,5.300000000000002,1,26545217.6,26545216.6
574,14,15,6,1.1428571428571428,1.7142857142857142,3.0,3.6666666666666665,3.0,3.2333333333333343,1,16718672.7,16718671.7
5385,18,20,9,0.5555555555555556,1.4444444444444444,1.0,1.3333333333333333,1.2,2.266666666666667,2,26476325.3,26476323.3
4016,4,3,9,2.5,3.0,3.0,3.6666666666666665,0.0,6.866666666666666,7,14223214.4,14223207.4
3257,21,1,15,1.181818181818182,1.4545454545454546,1.0,0.0,0.0,0.0,1,-13555128.1,13555129.1
8604,30,4,6,2.1333333333333333,1.2142857142857142,1.0,1.6666666666666667,1.8,2.466666666666665,1,18866796.0,18866795.0
6595,32,11,7,0.8666666666666667,2.1875,8.0,6.666666666666668,5.4,6.400000000000002,7,44075780.0,44075773.0
3200,1,3,17,1.0,1.0,0.0,0.0,0.0,0.0,1,-47992496.7,47992497.7
4363,22,13,18,1.0,1.8181818181818181,2.0,4.0,3.0,3.633333333333333,3,45650614.1,45650611.1
677,15,14,11,1.125,1.2857142857142858,1.0,1.3333333333333333,1.4,1.9,2,16472485.0,16472483.0
3656,22,1,10,3.5454545454545454,1.5454545454545454,2.0,2.6666666666666665,3.2,3.5333333333333328,3,50340605.0,50340602.0
5209,38,20,1,1.1666666666666667,1.0555555555555556,1.0,1.6666666666666667,2.0,3.100000000000001,2,56036571.7,56036569.7
4098,11,16,9,1.5,1.1428571428571428,5.0,5.333333333333333,4.0,12.933333333333332,5,37861463.8,37861458.8
2330,29,13,20,0.6,0.6666666666666666,2.0,2.0,1.6,3.999999999999999,3,39530111.5,39530108.5
4019,28,2,5,2.5,1.0714285714285714,2.0,1.6666666666666667,2.4,3.1,2,17077991.4,17077989.4
2282,19,11,18,1.7272727272727273,1.8,2.0,2.0,2.8,3.2666666666666675,2,54388347.1,54388345.1
4978,5,13,4,0.6666666666666666,1.0,7.0,5.333333333333333,3.8,11.8,7,-18546469.7,18546476.7
8600,24,3,17,1.9166666666666667,2.1666666666666665,8.0,4.0,3.0,4.966666666666666,2,52789438.4,52789436.4
1316,6,9,8,1.0,0.6666666666666666,1.0,2.0,2.0,3.3666666666666667,2,-36369244.7,36369246.7
3049,11,12,14,1.3333333333333333,1.8333333333333333,3.0,4.666666666666667,3.4,5.3,9,26277601.1,26277592.1
733,11,4,5,2.0,0.5,2.0,2.333333333333333,2.4,3.5666666666666664,2,-25145356.0,25145358.0
8551,11,3,15,2.0,0.8333333333333334,3.0,2.333333333333333,3.2,8.266666666666667,2,4107940.0,4107938.0
1746,15,12,13,1.125,1.3333333333333333,1.0,1.3333333333333333,1.6,2.100000000000001,1,13785290.9,13785289.9
16335,19,8,9,1.1,2.4,1.0,1.6666666666666667,2.4,2.1666666666666674,1,5597734.4,5597733.4
20092,23,11,5,1.1666666666666667,1.5,1.0,1.0,1.0,0.5999999999999993,1,6562791.7,6562790.7
7631,16,2,17,2.1111111111111107,1.75,7.0,9.0,8.2,10.1,19,34469727.9,34469708.9
21313,5,1,17,3.0,1.6666666666666667,0.0,0.0,0.0,0.0,1,16948965.5,16948964.5
7784,17,2,9,2.0,2.1111111111111107,3.0,2.333333333333333,2.4,6.633333333333336,3,8813806.4,8813803.4
6038,12,8,18,1.1666666666666667,2.142857142857143,3.0,2.333333333333333,3.4,5.3,3,21042346.2,21042343.2
16386,33,8,3,1.2222222222222223,1.4705882352941178,0.0,1.0,1.0,0.7999999999999989,2,5788875.1,5788873.1
6006,21,10,20,1.2727272727272727,1.5454545454545454,2.0,2.0,1.4,5.266666666666665,2,43752635.1,43752633.1
6569,4,18,6,2.0,1.0,1.0,0.0,0.0,0.0,3,23828379.7,23828376.7
6574,10,11,5,0.8,1.0,2.0,2.0,2.2,1.3999999999999992,1,-29605667.4,29605668.4
18141,22,5,3,1.9090909090909087,0.9090909090909092,8.0,5.333333333333333,3.8,5.466666666666668,7,9657137.9,9657130.9
617,15,14,11,1.125,1.2857142857142858,2.0,5.666666666666668,4.4,7.000000000000001,2,20169855.4,20169853.4
18993,24,7,14,2.0,1.9166666666666667,2.0,2.6666666666666665,4.4,4.166666666666667,0,46758314.2,46758314.2
19881,23,14,18,1.9166666666666667,1.9166666666666667,2.0,2.6666666666666665,5.8,5.233333333333335,2,81386560.9,81386558.9
17132,27,11,1,1.2142857142857142,1.3571428571428572,2.0,8.333333333333334,5.4,8.266666666666667,10,7588765.9,7588755.9
7633,18,2,13,3.125,2.1111111111111107,3.0,10.333333333333334,7.8,10.966666666666667,9,51968130.6,51968121.6
18652,16,6,16,1.375,2.25,2.0,5.333333333333333,4.6,10.866666666666665,12,22024168.4,22024156.4
7571,32,3,13,1.6875,1.5,7.0,9.333333333333334,6.2,12.999999999999998,8,43171655.6,43171647.6
3422,21,4,8,1.9090909090909087,1.6363636363636365,9.0,11.0,8.8,13.800000000000004,14,28975835.4,28975821.4
7455,29,4,3,1.6666666666666667,1.2307692307692308,1.0,1.0,1.6,0.5333333333333341,1,-4577397.9,4577398.9
20702,11,9,16,1.4285714285714286,1.5,3.0,2.0,2.0,1.9666666666666663,2,17182145.4,17182143.4
4715,24,18,5,1.1538461538461535,1.0833333333333333,1.0,1.3333333333333333,2.6,2.966666666666665,1,33319687.4,33319686.4
4039,1,1,20,4.0,4.0,0.0,0.0,0.0,0.0,1,72081435.0,72081434.0
8571,33,4,9,2.117647058823529,2.2666666666666666,3.0,5.0,4.2,11.166666666666664,6,51435836.8,51435830.8
